trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2016-01-05,1.4519232e+18,I,KQ.m@DCE.i,DCE,i,black,0.0,321.0,326.0,319.0,324.5,1297626.0,0.0,784180.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-06,1.4520096e+18,I,KQ.m@DCE.i,DCE,i,black,1.0,324.5,325.5,316.0,318.5,1448350.0,784180.0,769880.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-07,1.452096e+18,I,KQ.m@DCE.i,DCE,i,black,2.0,317.0,323.0,317.0,320.0,1154623.0,769880.0,779423.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-08,1.4521824e+18,I,KQ.m@DCE.i,DCE,i,black,3.0,319.0,319.0,310.5,311.5,1348035.0,779423.0,738146.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-11,1.4524416e+18,I,KQ.m@DCE.i,DCE,i,black,4.0,311.0,312.5,305.0,305.5,1079008.0,738146.0,724108.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-12,1.452528e+18,I,KQ.m@DCE.i,DCE,i,black,5.0,305.5,307.0,299.5,300.5,938505.0,724108.0,727475.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-13,1.4526144e+18,I,KQ.m@DCE.i,DCE,i,black,6.0,301.0,306.0,298.5,300.5,943473.0,727475.0,753993.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-14,1.4527008e+18,I,KQ.m@DCE.i,DCE,i,black,7.0,301.5,305.0,298.0,305.0,1173974.0,753993.0,781558.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-15,1.4527872e+18,I,KQ.m@DCE.i,DCE,i,black,8.0,305.5,311.0,304.0,306.5,1450639.0,781558.0,806149.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-18,1.4530464e+18,I,KQ.m@DCE.i,DCE,i,black,9.0,306.0,321.5,303.5,319.0,2036426.0,806149.0,779123.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-19,1.4531328e+18,I,KQ.m@DCE.i,DCE,i,black,10.0,319.0,323.5,317.0,322.0,1110549.0,779123.0,802948.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
