strategy_id,strategy_family,lookback,version,sample_split,return_col,n_obs,mean_daily,mean_ann,vol_daily,vol_ann,sharpe,t_stat,hit_rate,min_daily,max_daily,max_drawdown,avg_turnover_daily,avg_n_symbols,eligible_for_selection,selection_score
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,IS,net_strategy_return,1095,8.521865859148108e-05,0.02147510196505323,0.005176045875430624,0.08216718096630624,0.26135863142072974,0.5448082011743375,0.5159817351598174,-0.0307231534157957,0.02262709011163266,-0.19997380272394671,0.005111585522544427,20.631963470319636,True,0.24008335476769893
BREAKOUT_120_long_short,BREAKOUT,120,long_short,IS,net_strategy_return,1095,-8.89282416517078e-05,-0.022409916896230366,0.005847498248871135,0.09282615695039223,-0.2414181264469085,-0.5032417505610909,0.4968036529680365,-0.03234016149031126,0.026620106013685484,-0.3455372437351991,0.01049348763257326,19.73972602739726,True,-0.27859522272857173
BREAKOUT_20_long_flat,BREAKOUT,20,long_flat,IS,net_strategy_return,1195,0.0003545483431732309,0.08934618247965417,0.005558113756186147,0.0882323205448538,1.01262419403595,2.205118748579262,0.5447698744769874,-0.033002687525612674,0.024857048952818414,-0.1219951989155178,0.022041333840497022,20.74644351464435,True,0.9949143406842739
BREAKOUT_20_long_short,BREAKOUT,20,long_short,IS,net_strategy_return,1193,0.0002372327058928538,0.05978264188499916,0.005884243529998865,0.093409470204707,0.6400062194334837,1.3925286714010676,0.5046102263202011,-0.03302768752561268,0.02404619840710635,-0.12530708974917326,0.044100145134850936,20.6756077116513,True,0.6164504741748535
BREAKOUT_60_long_flat,BREAKOUT,60,long_flat,IS,net_strategy_return,1155,0.0001572087871958804,0.039616614373361864,0.005711844514056266,0.09067272066996873,0.43691877866507084,0.9353872216565244,0.5177489177489177,-0.04255865383470562,0.024809786584542748,-0.21789798535077054,0.009461779202038943,20.703030303030303,True,0.41276353532948407
BREAKOUT_60_long_short,BREAKOUT,60,long_short,IS,net_strategy_return,1147,-3.328244536624413e-05,-0.008387176232293521,0.006443704672792243,0.10229064051691864,-0.08199358406506704,-0.17492879683576604,0.4899738448125545,-0.03420268899030061,0.034238965572137806,-0.32912832003723724,0.01845345722180837,20.387096774193548,True,-0.11951978037424285
MA_10_long_flat,MA,10,long_flat,IS,net_strategy_return,1206,0.00022781322350500473,0.05740893232326119,0.005146071290577639,0.08169134918326583,0.7027541214244164,1.537364275008023,0.5232172470978441,-0.030428457379745578,0.027818106103231967,-0.14066125132008322,0.170747991643514,20.75787728026534,True,0.6460009983815296
MA_10_long_short,MA,10,long_short,IS,net_strategy_return,1206,-4.19556824931487e-05,-0.010572831988273473,0.005571785315513309,0.08844934982093863,-0.1195354404489988,-0.2614990224050999,0.5049751243781094,-0.02787922723387847,0.0365184531291061,-0.24561064460442628,0.3414188078367183,20.75787728026534,True,-0.229451206868621
MA_120_long_flat,MA,120,long_flat,IS,net_strategy_return,1096,8.136548656513724e-05,0.020504102614414585,0.005507214157892196,0.08742431447134051,0.23453546920446544,0.48911787864592565,0.5228102189781022,-0.04314590510703938,0.024773219435533976,-0.23492333933424991,0.05023382943090972,20.633211678832115,True,0.19848467791331303
MA_120_long_short,MA,120,long_short,IS,net_strategy_return,1096,-0.00017281075704229384,-0.043548310774658046,0.006050965954402812,0.09605610664241065,-0.45336327170510793,-0.9454778096658006,0.4844890510948905,-0.035377191534968135,0.02414619840710635,-0.34929667763459193,0.09955327519196132,20.633211678832115,True,-0.5131812582665575
MA_20_long_flat,MA,20,long_flat,IS,net_strategy_return,1196,0.00028032794333403516,0.07064264172017685,0.005293980104335537,0.08403932881077364,0.8405902655319712,1.8312585938153667,0.5192307692307693,-0.03302768752561268,0.027152355634218257,-0.13679073363432237,0.11709449970319535,20.747491638795985,True,0.7976375672427402
MA_20_long_short,MA,20,long_short,IS,net_strategy_return,1196,6.150737950777996e-05,0.01549985963596055,0.005717203722925044,0.09075779547331377,0.1707826810372239,0.37205671436882676,0.4916387959866221,-0.03307768752561267,0.025439202987766373,-0.18065598813809602,0.23352589439545962,20.747491638795985,True,0.0943356086245494
MA_60_long_flat,MA,60,long_flat,IS,net_strategy_return,1156,0.00025261386106362465,0.06365869298803341,0.0056482340942701475,0.08966293656068978,0.709977783796374,1.5206294804381817,0.5337370242214533,-0.04052500062594177,0.027843106103231964,-0.14736249631779486,0.061708346440180355,20.70415224913495,True,0.6798144475545495
MA_60_long_short,MA,60,long_short,IS,net_strategy_return,1156,6.775920184142519e-05,0.01707531886403915,0.006120439217630802,0.097158960506027,0.17574620781353384,0.3764129959778039,0.5051903114186851,-0.031067276468351855,0.02601504286212525,-0.20950376882204091,0.12280928414146407,20.70415224913495,True,0.12409350989596372
REVERSAL_10_long_flat,REVERSAL,10,long_flat,IS,net_strategy_return,1205,6.404617443141963e-05,0.016139635956717746,0.004520125570168541,0.07175476892069999,0.22492771141879805,0.4918540111745406,0.5145228215767634,-0.04321936051681566,0.0181543463688737,-0.17688568691274253,0.14284762264015374,20.756846473029047,True,0.17152723706748538
REVERSAL_10_long_short,REVERSAL,10,long_short,IS,net_strategy_return,1205,-0.0003772144992490945,-0.09505805381077181,0.005528737060607049,0.08776597995979495,-1.0830854262017848,-2.3684049775892277,0.45726141078838173,-0.035136461182743696,0.03281562538286022,-0.38887290249585016,0.2857724847766342,20.756846473029047,True,-1.1934158376455284
REVERSAL_3_long_flat,REVERSAL,3,long_flat,IS,net_strategy_return,1212,3.18573056491288e-05,0.008028041023580457,0.004744688832065768,0.07531960018818917,0.10658634676129533,0.23375053663374398,0.5024752475247525,-0.04568360289416787,0.020669970305023683,-0.2501827353034938,0.2710712142642836,20.764026402640265,True,0.013800269664875051
REVERSAL_3_long_short,REVERSAL,3,long_short,IS,net_strategy_return,1212,-0.00044594147230840527,-0.11237725102171812,0.005453167440943155,0.08656634943798056,-1.2981632210588883,-2.846953280426111,0.45544554455445546,-0.04006494593744812,0.03271156888455027,-0.45031173463082275,0.5418106096323918,20.764026402640265,True,-1.4786470469300683
REVERSAL_5_long_flat,REVERSAL,5,long_flat,IS,net_strategy_return,1210,0.00015420637417620786,0.03886000629240438,0.004688317332411288,0.07442473037348406,0.5221383550520644,1.1441369499798826,0.5421487603305785,-0.0406019149315553,0.022464282516135713,-0.19747191289224608,0.20520696933920074,20.76198347107438,True,0.45108942142803965
REVERSAL_5_long_short,REVERSAL,5,long_short,IS,net_strategy_return,1210,-0.00021138949032104614,-0.053270151560903624,0.005530841134992707,0.08779938110518154,-0.606725820733147,-1.3294894414306047,0.4727272727272727,-0.029901570012222985,0.0255067540338652,-0.3201300812232324,0.40991628206504244,20.76198347107438,True,-0.7412178993717308
TSMOM_120_long_flat,TSMOM,120,long_flat,IS,net_strategy_return,1095,0.00011224020877933385,0.02828453261239213,0.0056516377402461605,0.0897169677655104,0.31526402771790357,0.6571752648929139,0.5205479452054794,-0.03297768752561268,0.025618247844624888,-0.217162974267601,0.04214137460712803,20.631963470319636,True,0.28301238663936146
TSMOM_120_long_short,TSMOM,120,long_short,IS,net_strategy_return,1095,-0.00012309880147101147,-0.03102089797069489,0.005971495270897958,0.09479454865196565,-0.32724347983961466,-0.6821467139933541,0.4922374429223744,-0.03297768752561268,0.025593247844624883,-0.33352238141646606,0.08336753049081816,20.631963470319636,True,-0.3814376006039658
TSMOM_20_long_flat,TSMOM,20,long_flat,IS,net_strategy_return,1195,0.0003453681288252395,0.08703276846396035,0.005477362527104919,0.08695043452358339,1.0009469066006178,2.179689961070669,0.5389121338912134,-0.03297768752561268,0.030221326032124463,-0.11105520696364557,0.09895017116774439,20.74644351464435,True,0.9651038431123171
