strategy_id,strategy_family,lookback,version,IS_avg_n_symbols,OOS_avg_n_symbols,PSEUDO_LIVE_avg_n_symbols,IS_avg_turnover_daily,OOS_avg_turnover_daily,PSEUDO_LIVE_avg_turnover_daily,IS_hit_rate,OOS_hit_rate,PSEUDO_LIVE_hit_rate,IS_max_drawdown,OOS_max_drawdown,PSEUDO_LIVE_max_drawdown,IS_mean_ann,OOS_mean_ann,PSEUDO_LIVE_mean_ann,IS_mean_daily,OOS_mean_daily,PSEUDO_LIVE_mean_daily,IS_n_obs,OOS_n_obs,PSEUDO_LIVE_n_obs,IS_sharpe,OOS_sharpe,PSEUDO_LIVE_sharpe,IS_t_stat,OOS_t_stat,PSEUDO_LIVE_t_stat,IS_vol_ann,OOS_vol_ann,PSEUDO_LIVE_vol_ann,OOS_decay_ann,PSEUDO_LIVE_decay_ann,OOS_retention_ratio,PSEUDO_LIVE_retention_ratio,OOS_sharpe_retention,PSEUDO_LIVE_sharpe_retention,decay_flag
MA_10_long_flat,MA,10,long_flat,20.75787728026534,23.691460055096417,27.0,0.170747991643514,0.1739639357572643,0.16651052401473984,0.5232172470978441,0.5055096418732782,0.521079258010118,-0.14066125132008322,-0.15722459610231765,-0.1140442488196759,0.05740893232326119,0.028925862069545207,-0.0019126693956130513,0.00022781322350500473,0.0001147851669426397,-7.58995791909941e-06,1206,726,593,0.7027541214244164,0.29632773705469445,-0.02249853679512264,1.537364275008023,0.5029679876564779,-0.03451289186594145,0.08169134918326583,0.09761442636807988,0.08501305720591085,-0.028483070253715985,-0.05932160171887424,0.5038564714401579,-0.03331658190128138,0.4216663097671573,-0.03201480590326561,DECAYED_TO_NEGATIVE
REVERSAL_5_long_flat,REVERSAL,5,long_flat,20.76198347107438,23.71900826446281,27.0,0.20520696933920074,0.20036491845989987,0.20161139216788457,0.5421487603305785,0.5192837465564738,0.4822934232715008,-0.19747191289224608,-0.21305994369331638,-0.1390897528946735,0.03886000629240438,-0.027200798106613855,-0.026838978659121424,0.00015420637417620786,-0.00010793967502624546,-0.00010650388356794215,1210,726,593,0.5221383550520644,-0.2812205133970137,-0.3873768202000239,1.1441369499798826,-0.47732594024740416,-0.5942383910865696,0.07442473037348406,0.09672408949845372,0.06928390461066562,-0.06606080439901824,-0.0656989849515258,-0.699968957851933,-0.6906581140818652,-0.5385938624810892,-0.7419045478116563,DECAYED_TO_NEGATIVE
MA_120_long_flat,MA,120,long_flat,20.633211678832115,23.019283746556475,26.898819561551434,0.05023382943090972,0.04541423941172414,0.0561145942933464,0.5228102189781022,0.5110192837465565,0.524451939291737,-0.23492333933424991,-0.1548717066051677,-0.11057418714334422,0.020504102614414585,0.03943235703562564,-0.01194872189634709,8.136548656513724e-05,0.00015647760728422874,-4.741556308074242e-05,1096,726,593,0.23453546920446544,0.36473035326508463,-0.15547939244030243,0.48911787864592565,0.6190702687582574,-0.2385063307689286,0.08742431447134051,0.10811372479045185,0.07685083990108141,0.018928254421211058,-0.032452824510761674,1.9231447372831771,-0.582747858857623,1.5551181000564,-0.66292485724092,DECAYED_TO_NEGATIVE
REVERSAL_10_long_flat,REVERSAL,10,long_flat,20.756846473029047,23.68457300275482,27.0,0.14284762264015374,0.14019431937266408,0.13959153082255948,0.5145228215767634,0.5068870523415978,0.4856661045531197,-0.17688568691274253,-0.1801696921331798,-0.12008562812122692,0.016139635956717746,-0.008665328111796195,0.013499332241466195,6.404617443141963e-05,-3.438622266585792e-05,5.356877873597697e-05,1205,726,593,0.22492771141879805,-0.08945033528195923,0.19451765596340753,0.4918540111745406,-0.15182735028162475,0.29839126372595237,0.07175476892069999,0.09687306463952249,0.0693990073785676,-0.024804964068513943,-0.002640303715251551,-0.5368973708598089,0.8364087193582216,-0.3976848149021958,0.864800760815241,DECAYED_TO_NEGATIVE
MA_20_long_short,MA,20,long_short,20.747491638795985,23.62258953168044,27.0,0.23352589439545962,0.2337439091586295,0.24133408281806254,0.4916387959866221,0.5055096418732782,0.4873524451939292,-0.18065598813809602,-0.15422796036843156,-0.10691261976748245,0.01549985963596055,0.04288324109592872,-0.0369967275677083,6.150737950777996e-05,0.00017017159165051078,-0.00014681241098296943,1196,726,593,0.1707826810372239,0.36328788243975585,-0.39404095529362543,0.37205671436882676,0.6166219098719784,-0.6044612147288323,0.09075779547331377,0.1180420354456498,0.09389056409159205,0.02738338145996817,-0.05249658720366884,2.766685770265763,-2.3869072647518563,2.127193929931182,-2.307265308756571,DECAYED_TO_NEGATIVE
REVERSAL_3_long_flat,REVERSAL,3,long_flat,20.764026402640265,23.732782369146005,27.0,0.2710712142642836,0.2656096283354039,0.2656298794578727,0.5024752475247525,0.5110192837465565,0.47048903878583476,-0.2501827353034938,-0.2503768615705094,-0.12234113654000067,0.008028041023580457,-0.028082310544380543,-0.034188223749090696,3.18573056491288e-05,-0.00011143774025547835,-0.0001356675545598837,1212,726,593,0.10658634676129533,-0.28200505408787907,-0.4978603529795794,0.23375053663374398,-0.47865757007200727,-0.7637208002988267,0.07531960018818917,0.0995808767868021,0.06867030793772201,-0.036110351567961,-0.04221626477267115,-3.49802778310368,-4.258601027158548,-2.6457896593401538,-4.670958036441186,DECAYED_TO_NEGATIVE
BREAKOUT_60_long_short,BREAKOUT,60,long_short,20.387096774193548,23.18732782369146,26.90893760539629,0.01845345722180837,0.018471355669523112,0.01844164828987763,0.4899738448125545,0.5247933884297521,0.4924114671163575,-0.32912832003723724,-0.2112144542112111,-0.15038242750524922,-0.008387176232293521,0.017803765784890617,-0.03144169550545141,-3.328244536624413e-05,7.064986422575642e-05,-0.0001247686329581405,1147,726,593,-0.08199358406506704,0.14831810977530704,-0.3573754928455464,-0.17492879683576604,0.2517457931821269,-0.5482161730086251,0.10229064051691864,0.12003770687114503,0.08797943937090322,0.026190942017184138,-0.023054519273157888,,,,,NO_POSITIVE_IS_EDGE
MA_10_long_short,MA,10,long_short,20.75787728026534,23.691460055096417,27.0,0.3414188078367183,0.34787330828144103,0.3330210480294797,0.5049751243781094,0.5151515151515151,0.49409780775716694,-0.24561064460442628,-0.14234602770070381,-0.10579859817451487,-0.010572831988273473,0.00441315588151021,-0.04095179335103207,-4.19556824931487e-05,1.751252333932623e-05,-0.0001625071164723495,1206,726,593,-0.1195354404489988,0.040233815812356896,-0.45615936290085884,-0.2614990224050999,0.06829033817764898,-0.6997512286597686,0.08844934982093863,0.1096877289017864,0.08977518972888536,0.014985987869783682,-0.030378961362758597,,,,,NO_POSITIVE_IS_EDGE
BREAKOUT_120_long_short,BREAKOUT,120,long_short,19.73972602739726,22.792011019283745,26.634064080944352,0.01049348763257326,0.007981358682041398,0.006998770076341744,0.4968036529680365,0.5179063360881543,0.5430016863406408,-0.3455372437351991,-0.20136473280568312,-0.12632242581831843,-0.022409916896230366,0.04214759821556261,0.022446475775633173,-8.89282416517078e-05,0.0001672523738712802,8.90733165699729e-05,1095,726,593,-0.2414181264469085,0.38412093882855225,0.2856020753848307,-0.5032417505610909,0.6519826241701234,0.4381153154182881,0.09282615695039223,0.10972481308647088,0.07859353173602808,0.06455751511179297,0.04485639267186354,,,,,NO_POSITIVE_IS_EDGE
TSMOM_60_long_short,TSMOM,60,long_short,20.703030303030303,23.340220385674932,27.0,0.12048799685163321,0.1081499079322172,0.1101742551995503,0.5004329004329005,0.5275482093663911,0.49072512647554806,-0.28957156878792745,-0.1641787619070849,-0.11540463134439705,-0.024978075957814566,0.03355008804847828,-0.021237289812983118,-9.91193490389467e-05,0.00013313527003364398,-8.427495957532983e-05,1155,726,593,-0.2500922183481361,0.2739641465521032,-0.23615685893646965,-0.535415451799352,0.46500944140744527,-0.36226605357027775,0.09987546243059954,0.12246160116465327,0.08992874443124399,0.05852816400629285,0.0037407861448314483,,,,,NO_POSITIVE_IS_EDGE
