strategy_id,strategy_family,lookback,version,sample_split,return_col,n_obs,mean_daily,mean_ann,vol_daily,vol_ann,sharpe,t_stat,hit_rate,min_daily,max_daily,max_drawdown,avg_turnover_daily,avg_n_symbols,eligible_for_selection,selection_score
BREAKOUT_20_long_flat,BREAKOUT,20,long_flat,IS,net_strategy_return,1195,0.0003545483431732309,0.08934618247965417,0.005558113756186147,0.0882323205448538,1.01262419403595,2.205118748579262,0.5447698744769874,-0.033002687525612674,0.024857048952818414,-0.1219951989155178,0.022041333840497022,20.74644351464435,True,0.9949143406842739
TSMOM_20_long_flat,TSMOM,20,long_flat,IS,net_strategy_return,1195,0.0003453681288252395,0.08703276846396035,0.005477362527104919,0.08695043452358339,1.0009469066006178,2.179689961070669,0.5389121338912134,-0.03297768752561268,0.030221326032124463,-0.11105520696364557,0.09895017116774439,20.74644351464435,True,0.9651038431123171
MA_20_long_flat,MA,20,long_flat,IS,net_strategy_return,1196,0.00028032794333403516,0.07064264172017685,0.005293980104335537,0.08403932881077364,0.8405902655319712,1.8312585938153667,0.5192307692307693,-0.03302768752561268,0.027152355634218257,-0.13679073363432237,0.11709449970319535,20.747491638795985,True,0.7976375672427402
MA_60_long_flat,MA,60,long_flat,IS,net_strategy_return,1156,0.00025261386106362465,0.06365869298803341,0.0056482340942701475,0.08966293656068978,0.709977783796374,1.5206294804381817,0.5337370242214533,-0.04052500062594177,0.027843106103231964,-0.14736249631779486,0.061708346440180355,20.70415224913495,True,0.6798144475545495
MA_10_long_flat,MA,10,long_flat,IS,net_strategy_return,1206,0.00022781322350500473,0.05740893232326119,0.005146071290577639,0.08169134918326583,0.7027541214244164,1.537364275008023,0.5232172470978441,-0.030428457379745578,0.027818106103231967,-0.14066125132008322,0.170747991643514,20.75787728026534,True,0.6460009983815296
BREAKOUT_20_long_short,BREAKOUT,20,long_short,IS,net_strategy_return,1193,0.0002372327058928538,0.05978264188499916,0.005884243529998865,0.093409470204707,0.6400062194334837,1.3925286714010676,0.5046102263202011,-0.03302768752561268,0.02404619840710635,-0.12530708974917326,0.044100145134850936,20.6756077116513,True,0.6164504741748535
TSMOM_20_long_short,TSMOM,20,long_short,IS,net_strategy_return,1195,0.0001908166247837004,0.0480857894454925,0.005874393574442932,0.09325310700775076,0.5156481214239418,1.1228897619853253,0.5129707112970712,-0.03297768752561268,0.030221326032124463,-0.10669371413209316,0.19782245648354432,20.74644351464435,True,0.4555231358898464
REVERSAL_5_long_flat,REVERSAL,5,long_flat,IS,net_strategy_return,1210,0.00015420637417620786,0.03886000629240438,0.004688317332411288,0.07442473037348406,0.5221383550520644,1.1441369499798826,0.5421487603305785,-0.0406019149315553,0.022464282516135713,-0.19747191289224608,0.20520696933920074,20.76198347107438,True,0.45108942142803965
TSMOM_60_long_flat,TSMOM,60,long_flat,IS,net_strategy_return,1155,0.0001660912994172925,0.041855007453157705,0.0057965032990408335,0.09201663721816507,0.4548634759812227,0.973804523419811,0.529004329004329,-0.048634482859325256,0.029671169344338676,-0.19812332115558284,0.060591255786060984,20.703030303030303,True,0.41990332991914914
BREAKOUT_60_long_flat,BREAKOUT,60,long_flat,IS,net_strategy_return,1155,0.0001572087871958804,0.039616614373361864,0.005711844514056266,0.09067272066996873,0.43691877866507084,0.9353872216565244,0.5177489177489177,-0.04255865383470562,0.024809786584542748,-0.21789798535077054,0.009461779202038943,20.703030303030303,True,0.41276353532948407
