strategy_id,strategy_family,lookback,version,sample_split,return_col,n_obs,mean_daily,mean_ann,vol_daily,vol_ann,sharpe,t_stat,hit_rate,min_daily,max_daily,max_drawdown,avg_turnover_daily,avg_n_symbols
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,IS,gross_strategy_return,1095,8.777445135275327e-05,0.022119161740893824,0.005176044956580739,0.08216716638001652,0.2691970858358981,0.5611476433680044,0.5159817351598174,-0.030698153415795702,0.02265209011163266,-0.1985339033914394,0.005111585522544427,20.631963470319636
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,IS,net_strategy_return,1095,8.521865859148108e-05,0.02147510196505323,0.005176045875430624,0.08216718096630624,0.26135863142072974,0.5448082011743375,0.5159817351598174,-0.0307231534157957,0.02262709011163266,-0.19997380272394671,0.005111585522544427,20.631963470319636
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,IS,passive_return,1095,0.00034803682839139815,0.08770528075463234,0.007757941789548434,0.12315350796516328,0.7121622615852871,1.484518948425112,0.5488584474885845,-0.05091461867911063,0.025643247844624885,-0.19648777575176524,0.005111585522544427,20.631963470319636
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,IS,gross_map_vs_passive,1095,-0.00026026237703864486,-0.06558611901373851,0.0042031101188158065,0.06672230464443461,-0.98297142706999,-2.0490270096558856,0.4593607305936073,-0.018330531193163725,0.02207590975353571,-0.2729662306022349,0.005111585522544427,20.631963470319636
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,IS,net_map_vs_passive,1095,-0.0002628181697999171,-0.0662301787895791,0.004202844646315898,0.0667180903991465,-0.9926869668084258,-2.0692792802603117,0.4593607305936073,-0.01837815024078277,0.02207590975353571,-0.2748904768286329,0.005111585522544427,20.631963470319636
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,IS,net_map_vs_zero,1095,8.521865859148108e-05,0.02147510196505323,0.005176045875430624,0.08216718096630624,0.26135863142072974,0.5448082011743375,0.5159817351598174,-0.0307231534157957,0.02262709011163266,-0.19997380272394671,0.005111585522544427,20.631963470319636
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,OOS,gross_strategy_return,726,0.0002287787679918363,0.05765224953394275,0.006922896047309707,0.10989756776120117,0.524599867935354,0.8904226871330573,0.5179063360881543,-0.024579865487479174,0.03726886477386564,-0.16597165502716915,0.003923079156640062,23.015151515151516
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,OOS,net_strategy_return,726,0.00022681722841351627,0.0571579415602061,0.006923303299002137,0.10990403268139626,0.5200713765062907,0.8827363117574872,0.5179063360881543,-0.024579865487479174,0.03726886477386564,-0.16675258118663083,0.003923079156640062,23.015151515151516
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,OOS,passive_return,726,0.00028973387979332123,0.07301293770791695,0.010209183617620906,0.16206576564731792,0.45051425522405053,0.7646744466542266,0.5275482093663911,-0.032816285108068236,0.0441933145672033,-0.24867989128716472,0.003923079156640062,23.015151515151516
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,OOS,gross_map_vs_passive,726,-6.0955111801484806e-05,-0.015360688173974171,0.005289408907960276,0.08396676331795576,-0.18293771924741303,-0.31050693205730545,0.5,-0.03217309608682379,0.020531135272382466,-0.12298511847226079,0.003923079156640062,23.015151515151516
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,OOS,net_map_vs_passive,726,-6.29166513798049e-05,-0.015854996147710836,0.005289290539558996,0.08396488427783849,-0.1888288929839634,-0.32050623832764796,0.5,-0.03217309608682379,0.020531135272382466,-0.12353216416610424,0.003923079156640062,23.015151515151516
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,OOS,net_map_vs_zero,726,0.00022681722841351627,0.0571579415602061,0.006923303299002137,0.10990403268139626,0.5200713765062907,0.8827363117574872,0.5179063360881543,-0.024579865487479174,0.03726886477386564,-0.16675258118663083,0.003923079156640062,23.015151515151516
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,PSEUDO_LIVE,gross_strategy_return,593,0.00013417656087814746,0.03381249334129316,0.004287989208909431,0.06806971842781767,0.49673326292877973,0.7619918373266719,0.5480607082630692,-0.022545083646408424,0.016266277675084553,-0.07424309593647349,0.0033944932089957384,26.895446880269816
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,PSEUDO_LIVE,net_strategy_return,593,0.00013247931427364963,0.033384787196959705,0.004287887025254328,0.06806809631258091,0.49046159662892247,0.7523710631937885,0.5480607082630692,-0.022563602164926946,0.016266277675084553,-0.07472275587940858,0.0033944932089957384,26.895446880269816
