hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,sensitivity_axis,bandwidth_multiplier,p,grid_size,weight_scale,sensitivity_label,status,sensitivity_reject_share,sensitivity_conclusion,symbol,best_model_name
2537,10.501811391196394,10,10,15,1.0,10.739905501110915,10.739905501110915,6.607446383744285,3.6860422029614326,1.1211100931092266,0.13112050147598353,6.607446383744286,2.381264300367801,1.7354054804955272,0.04133450502175284,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,bandwidth_multiplier,0.5,10.501811391196394,15,1.0,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
2537,21.00362278239279,21,21,15,1.0,18.00239931547566,18.00239931547566,14.25796545331094,6.204702903129079,0.6034831837437976,0.27309364959024063,14.257965453310932,3.593437293041537,1.0420200929665828,0.148701181694189,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,bandwidth_multiplier,1.0,21.00362278239279,15,1.0,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
2537,31.505434173589183,31,31,15,1.0,25.085741682433763,25.085741682433763,21.9200821482504,8.378936159110761,0.3778116307451765,0.3527852664729858,21.920082148250398,4.493533597348603,0.7044922365888739,0.2405631415456273,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,bandwidth_multiplier,1.5,31.505434173589183,15,1.0,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
2537,42.00724556478558,42,42,15,1.0,32.26637511614126,32.26637511614126,29.585089336892754,10.358334902917884,0.2588529724495783,0.3978743421242472,29.585089336892747,5.242144599813681,0.5114864209094527,0.30450524722414074,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,bandwidth_multiplier,2.0,42.00724556478558,15,1.0,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
2537,21.00362278239279,21,21,8,1.0,22.0542022238798,22.0542022238798,14.652307188281233,6.605829322024899,1.1205095794587752,0.13124833636467725,14.652307188281231,3.622464449894306,2.043331311592177,0.0205098260035379,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,weight_grid_size,1.0,21.00362278239279,8,1.0,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
2537,21.00362278239279,21,21,15,1.0,18.00239931547566,18.00239931547566,14.25796545331094,6.204702903129079,0.6034831837437976,0.27309364959024063,14.257965453310932,3.593437293041537,1.0420200929665828,0.148701181694189,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,weight_grid_size,1.0,21.00362278239279,15,1.0,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
2537,21.00362278239279,21,21,21,1.0,18.5200197815263,18.5200197815263,14.296045739670895,6.206758619297835,0.6805442745465202,0.24807994888404883,14.296045739670891,3.578817991402061,1.180270707256783,0.1189462823635885,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,weight_grid_size,1.0,21.00362278239279,21,1.0,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
2537,21.00362278239279,21,21,15,0.75,14.542114059851503,14.542114059851503,10.64871259742196,5.08704098078119,0.7653568109906702,0.2220295516476859,10.648712597421955,2.8823080155434537,1.3507929900043851,0.08838087712767018,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,weight_scale,1.0,21.00362278239279,15,0.75,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
2537,21.00362278239279,21,21,15,1.0,18.00239931547566,18.00239931547566,14.25796545331094,6.204702903129079,0.6034831837437976,0.27309364959024063,14.257965453310932,3.593437293041537,1.0420200929665828,0.148701181694189,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,weight_scale,1.0,21.00362278239279,15,1.0,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
2537,21.00362278239279,21,21,15,1.25,19.688647028276915,19.688647028276915,17.127382192634055,7.054201153510811,0.36308361214907253,0.35827121305583454,17.127382192634048,4.103370040038313,0.6241856841209846,0.2662528237204246,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,weight_scale,1.0,21.00362278239279,15,1.25,AG:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AG,08_EGARCH11_t
