symbol,model_name,param_check_reason,hl_moment_condition_ok,hl_moment_condition_reason,persistence_warning_flag,persistence_warning_reason,aic,bic,fit_warnings,fit_warning_flag,model_usable,traditional_diag_pass,hl_hl_n,hl_bandwidth_p,hl_max_lag,hl_active_lag_count,hl_hl_weight_grid_size,hl_hl_weight_scale,hl_Q_gsd,hl_TQ_gsd,hl_C_robust,hl_D_robust,hl_M_robust,hl_pvalue,hl_C_iid,hl_D_iid,hl_M_iid,hl_pvalue_iid,hl_decision,hl_z_raw_mean,hl_z_raw_second_moment,hl_z_restandardized,hl_z_used_mean,hl_z_used_second_moment,hl_pvalue_adj_symbol,hl_decision_adj_symbol
AG,01_ARCH5_t,ok,False,fourth_moment_warning:t_nu=2.9989,False,ok,8957.756742998867,9004.466643475662,,False,True,False,2537,21.00362278239279,21,21,15,1.0,22.220830525348013,22.220830525348013,14.35080249095264,,,,14.350802490952637,3.588440033967535,2.1931613625695543,0.014147877609029025,VARIANCE_NOT_COMPUTED,0.012188948797227303,0.8378715491803218,True,-7.001800707135398e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,02_GARCH11_normal,near_integrated_volatility:persistence=0.9997,True,ok,False,ok,9153.588866669514,9176.943816907911,,False,False,True,2537,21.00362278239279,21,21,15,1.0,14.629934381043254,14.629934381043254,13.142293417753525,,,,13.142293417753523,3.2930192004941152,0.45175593360236466,0.32572240925234275,VARIANCE_NOT_COMPUTED,0.024727884012950844,1.0001707055897238,True,4.2010804242812386e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,03_GARCH11_t,near_integrated_volatility:persistence=1.0000,False,fourth_moment_warning:t_nu=3.6095,False,ok,8802.951485004292,8832.14517280229,,False,False,True,2537,21.00362278239279,21,21,15,1.0,14.64953909240772,14.64953909240772,13.156783684608733,,,,13.156783684608731,3.2968170877714287,0.4527868450257445,0.32535111855974774,VARIANCE_NOT_COMPUTED,0.021743003454366253,0.9860498490668036,True,-4.2010804242812386e-18,0.9999999999999998,,VARIANCE_NOT_COMPUTED
AG,04_GARCH11_skewt,near_integrated_volatility:persistence=1.0000,False,fourth_moment_warning:skewt_eta=3.6094,False,ok,8804.950087855676,8839.982513213272,,False,False,True,2537,21.00362278239279,21,21,15,1.0,14.652828855156265,14.652828855156265,13.15627142628638,,,,13.156271426286379,3.2966832934168226,0.4539585078913633,0.32492934554022346,VARIANCE_NOT_COMPUTED,0.021423240809065033,0.9860584886849385,True,-5.601440565708318e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,05_GARCH11_ged,near_integrated_volatility:persistence=1.0000,True,ok,False,ok,8768.569177343044,8797.762865141041,,False,False,True,2537,21.00362278239279,21,21,15,1.0,14.310690546934238,14.310690546934238,13.19655452871815,,,,13.196554528718146,3.3074636623925135,0.3368551046786593,0.3681130652900946,VARIANCE_NOT_COMPUTED,0.021957396518012907,1.0237556725180297,True,4.2010804242812386e-18,1.0000000000000004,,VARIANCE_NOT_COMPUTED
AG,06_GARCH12_t,near_integrated_volatility:persistence=1.0000,False,fourth_moment_warning:t_nu=3.6094,False,ok,8804.951484138619,8839.983909496215,,False,False,True,2537,21.00362278239279,21,21,15,1.0,14.649530525403277,14.649530525403277,13.156760099589343,,,,13.156760099589341,3.296810862067807,0.45279225538514767,0.3253491704339089,VARIANCE_NOT_COMPUTED,0.02175000442580034,0.9860573224878835,True,-4.2010804242812386e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,07_GARCH21_t,near_integrated_volatility:persistence=1.0000,False,fourth_moment_warning:t_nu=3.6090,False,ok,8804.820704063859,8839.853129421455,,False,False,True,2537,21.00362278239279,21,21,15,1.0,14.956126664062992,14.956126664062992,13.210233095688775,,,,13.210233095688775,3.3104187468896424,0.5273935721922189,0.2989601531421542,VARIANCE_NOT_COMPUTED,0.02178679823664892,0.9866813363606499,True,1.9605041979979115e-17,1.0,,VARIANCE_NOT_COMPUTED
AG,08_EGARCH11_t,ok,False,fourth_moment_warning:t_nu=3.1640,False,ok,8771.58072904392,8806.613154401517,,False,True,True,2537,21.00362278239279,21,21,15,1.0,18.00239931547566,18.00239931547566,14.25796545331094,,,,14.257965453310932,3.593437293041537,1.0420200929665828,0.148701181694189,VARIANCE_NOT_COMPUTED,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,,VARIANCE_NOT_COMPUTED
AG,09_EGARCH11_skewt,ok,False,fourth_moment_warning:skewt_eta=3.1650,False,ok,8773.504514317507,8814.375677234702,,False,True,True,2537,21.00362278239279,21,21,15,1.0,18.031709823863764,18.031709823863764,14.2553035162844,,,,14.255303516284402,3.5928342640413264,1.0510939358865803,0.14660772447431092,VARIANCE_NOT_COMPUTED,0.00967559589233994,0.8363803451566282,True,-9.802520989989558e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,10_EGARCH21_t,ok,False,fourth_moment_warning:t_nu=3.1610,False,ok,8773.503715707104,8814.3748786243,,False,True,True,2537,21.00362278239279,21,21,15,1.0,18.344169203495927,18.344169203495927,14.353586289410586,,,,14.353586289410588,3.6181337822605064,1.1029395689155908,0.13502670462477362,VARIANCE_NOT_COMPUTED,0.012262684456202736,0.8355968159962329,True,-4.2010804242812386e-18,1.0000000000000002,,VARIANCE_NOT_COMPUTED
AG,11_GJR11_t,near_integrated_volatility:persistence=1.0230,False,fourth_moment_warning:t_nu=3.6660,False,ok,8785.716596020091,8820.749021377687,,False,False,True,2537,21.00362278239279,21,21,15,1.0,15.684382718564166,15.684382718564166,13.40205979125934,,,,13.402059791259338,3.373417534288425,0.6765610554005291,0.249342247772933,VARIANCE_NOT_COMPUTED,0.01664321522834664,0.990850041732933,True,-4.2010804242812386e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,12_GJR11_skewt,near_integrated_volatility:persistence=1.0231,False,fourth_moment_warning:skewt_eta=3.6669,False,ok,8787.64037022722,8828.511533144416,,False,False,True,2537,21.00362278239279,21,21,15,1.0,15.707644088620318,15.707644088620318,13.400250130666276,,,,13.400250130666272,3.3729842219480775,0.6840808631536982,0.24696205264644822,VARIANCE_NOT_COMPUTED,0.014273927798207258,0.9913791486953895,True,-1.4003601414270797e-17,0.9999999999999997,,VARIANCE_NOT_COMPUTED
AG,13_GJR21_t,near_integrated_volatility:persistence=1.0230,False,fourth_moment_warning:t_nu=3.6660,False,ok,8787.71659388014,8828.587756797337,,False,False,True,2537,21.00362278239279,21,21,15,1.0,15.684907226937375,15.684907226937375,13.402131650957223,,,,13.40213165095722,3.3734363912843337,0.6766914538178257,0.24930086997586265,VARIANCE_NOT_COMPUTED,0.01664452828260453,0.9908561161574729,True,5.601440565708318e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,14_TARCH11_t,ok,False,fourth_moment_warning:t_nu=3.7481,True,review_persistence_proxy_not_hard_filter:1.0280,8802.63407412255,8837.666499480147,,False,False,False,2537,21.00362278239279,21,21,15,1.0,22.75738651257558,22.75738651257558,14.178242726962793,,,,14.178242726962788,3.5690279916689738,2.403775987646696,0.008113356663274063,VARIANCE_NOT_COMPUTED,0.012634988303874797,1.0366922738515234,True,-1.4003601414270795e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,15_TARCH11_skewt,ok,False,fourth_moment_warning:skewt_eta=3.7435,True,review_persistence_proxy_not_hard_filter:1.0283,8804.251107775137,8845.122270692333,,False,True,False,2537,21.00362278239279,21,21,15,1.0,22.95983000485665,22.95983000485665,14.207811658868307,,,,14.207811658868307,3.5767883652001657,2.44689298118385,0.007204680854255852,VARIANCE_NOT_COMPUTED,0.006340413392548002,1.036631673969665,True,7.001800707135398e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,16_APARCH11_t,ok,False,fourth_moment_warning:t_nu=3.4424,True,review_persistence_proxy_not_hard_filter:1.0000,8782.795518034718,8823.666680951914,,False,True,False,2537,21.00362278239279,21,21,15,1.0,17.52772391959329,17.52772391959329,13.788896786995435,,,,13.78889678699543,3.4739688013323233,1.076240849130239,0.1409097775434458,VARIANCE_NOT_COMPUTED,0.014030045754139565,0.9270528963876385,True,-9.802520989989558e-18,1.0000000000000002,,VARIANCE_NOT_COMPUTED
AG,17_APARCH11_skewt,ok,False,fourth_moment_warning:skewt_eta=3.4422,True,review_persistence_proxy_not_hard_filter:1.0000,8784.664891429733,8831.374791906528,,False,True,False,2537,21.00362278239279,21,21,15,1.0,17.6160130822157,17.6160130822157,13.798790128997753,,,,13.798790128997753,3.4765562546417517,1.0979896983175097,0.13610449383090129,VARIANCE_NOT_COMPUTED,0.010796381572467394,0.9274568668931595,True,-7.001800707135398e-18,0.9999999999999998,,VARIANCE_NOT_COMPUTED
AG,18_AR1_GARCH11_t,near_integrated_volatility:persistence=1.0000,False,fourth_moment_warning:t_nu=3.5893,False,ok,8801.80198811489,8836.832048008233,,False,False,True,2536,21.000862779367267,21,21,15,1.0,15.075701641079396,15.075701641079396,13.220772633692228,,,,13.22077263369223,3.3114661258921614,0.5601533993911593,0.28768740487991173,VARIANCE_NOT_COMPUTED,0.02184802459133353,0.9855366925213362,True,-1.4009123339118694e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,19_AR1_EGARCH11_t,ok,False,fourth_moment_warning:t_nu=3.1365,False,ok,8769.077238797687,8809.945642006587,,False,True,False,2536,21.000862779367267,21,21,15,1.0,18.44584075514933,18.44584075514933,14.37240720940742,,,,14.372407209407418,3.620884492211197,1.1249830129914895,0.1302981163215844,VARIANCE_NOT_COMPUTED,0.012069560397423589,0.8307177126471507,True,-5.603649335647478e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,20_AR1_GJR11_t,near_integrated_volatility:persistence=1.0231,False,fourth_moment_warning:t_nu=3.6410,False,ok,8783.793480848291,8824.661884057192,,False,False,False,2536,21.000862779367267,21,21,15,1.0,16.200675311654276,16.200675311654276,13.5241855474399,,,,13.5241855474399,3.4030166817101137,0.7865050378975404,0.2157858343911494,VARIANCE_NOT_COMPUTED,0.0164733815988359,0.9906274842852703,True,-4.2027370017356084e-18,1.0,,VARIANCE_NOT_COMPUTED
AL,01_ARCH5_t,ok,True,ok,False,ok,7173.811298258318,7220.521198735112,,False,True,True,2537,21.00362278239279,21,21,15,1.0,21.9108523273175,21.9108523273175,13.271559612163228,,,,13.271559612163223,3.396434017823382,2.543636257856939,0.005485262987108386,VARIANCE_NOT_COMPUTED,-0.0025158094912125298,0.9488359651137764,True,1.4353691449627565e-17,1.0000000000000004,,VARIANCE_NOT_COMPUTED
AL,02_GARCH11_normal,ok,True,ok,False,ok,7215.185716034672,7238.540666273069,,False,True,True,2537,21.00362278239279,21,21,15,1.0,10.32443496396615,10.32443496396615,10.117019292577695,,,,10.117019292577693,2.5937663834903684,0.07996698265066676,0.4681317579369023,VARIANCE_NOT_COMPUTED,0.01933441996321318,1.0005021556967004,True,-2.870738289925513e-17,1.0,,VARIANCE_NOT_COMPUTED
