symbol,family,spec_name,rep,nobs,bandwidth_p,status,convergence_flag,M_robust,pvalue,decision,reject_5pct,mc_family_status
AL,GARCH,03_GARCH11_t,37,2537,21.00362278239279,ok,0,0.24143656958814438,0.4046083862339289,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,38,2537,21.00362278239279,ok,0,-0.578368829941797,0.7184924332642533,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,39,2537,21.00362278239279,ok,0,-0.4808045052719725,0.6846722760269728,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,40,2537,21.00362278239279,ok,0,0.4711665746555496,0.3187608930898994,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,41,2537,21.00362278239279,ok,0,-0.17925447571106912,0.5711310545368592,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,42,2537,21.00362278239279,ok,0,-0.05065598009403721,0.5202001728095522,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,43,2537,21.00362278239279,ok,0,-0.28075598453558975,0.6105512172619498,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,44,2537,21.00362278239279,ok,0,0.6003335817603961,0.2741419712258021,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,45,2537,21.00362278239279,ok,0,0.27120835009403327,0.39311539556656794,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,46,2537,21.00362278239279,ok,0,-0.00867276435559563,0.5034598890156972,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,47,2537,21.00362278239279,ok,0,-0.1183074446657186,0.5470879705807357,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,48,2537,21.00362278239279,ok,0,0.9752704837474693,0.1647130537921635,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,49,2537,21.00362278239279,ok,0,-0.163703735835392,0.5650178117721194,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,50,2537,21.00362278239279,ok,0,0.32853293223057006,0.37125437424532226,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,51,2537,21.00362278239279,ok,0,-0.3054262388312654,0.6199792298919942,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,52,2537,21.00362278239279,ok,0,0.34224650295849984,0.3660826957955422,FAIL_TO_REJECT,False,representative_fit
