hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,symbol,best_model_name,sample_size,bandwidth_multiplier,base_bandwidth_p
2537,10.501811391196394,10,10,15,1.0,10.739905501110915,10.739905501110915,6.607446383744285,3.6860422029614326,1.1211100931092266,0.13112050147598353,6.607446383744286,2.381264300367801,1.7354054804955272,0.04133450502175284,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG,08_EGARCH11_t,2537,0.5,21.00362278239279
2537,21.00362278239279,21,21,15,1.0,18.00239931547566,18.00239931547566,14.25796545331094,6.204702903129079,0.6034831837437976,0.27309364959024063,14.257965453310932,3.593437293041537,1.0420200929665828,0.148701181694189,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG,08_EGARCH11_t,2537,1.0,21.00362278239279
2537,31.505434173589183,31,31,15,1.0,25.085741682433763,25.085741682433763,21.9200821482504,8.378936159110761,0.3778116307451765,0.3527852664729858,21.920082148250398,4.493533597348603,0.7044922365888739,0.2405631415456273,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG,08_EGARCH11_t,2537,1.5,21.00362278239279
2537,42.00724556478558,42,42,15,1.0,32.26637511614126,32.26637511614126,29.585089336892754,10.358334902917884,0.2588529724495783,0.3978743421242472,29.585089336892747,5.242144599813681,0.5114864209094527,0.30450524722414074,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG,08_EGARCH11_t,2537,2.0,21.00362278239279
2537,10.501811391196394,10,10,15,1.0,5.596821368509999,5.596821368509999,4.793976360459781,2.01679794951807,0.39807904814761647,0.345285959019658,4.79397636045978,1.759544868338662,0.45627992925707767,0.32409434742143217,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL,05_GARCH11_ged,2537,0.5,21.00362278239279
2537,21.00362278239279,21,21,15,1.0,11.681800239557026,11.681800239557026,10.344745210431984,3.523486403145761,0.3794693312655674,0.3521696871862393,10.344745210431983,2.655234090433142,0.5035544828015268,0.3072872425790739,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL,05_GARCH11_ged,2537,1.0,21.00362278239279
2537,31.505434173589183,31,31,15,1.0,17.29734503170947,17.29734503170947,15.903928618562622,4.876615571597384,0.28573431567221513,0.38754080991125417,15.903928618562622,3.3203260892547224,0.4196625197917268,0.3373660045053256,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL,05_GARCH11_ged,2537,1.5,21.00362278239279
2537,42.00724556478558,42,42,15,1.0,23.49554853697811,23.49554853697811,21.465209199742713,6.103821627468284,0.33263412025320466,0.36970524220204815,21.465209199742713,3.8734837742566928,0.5241636355182645,0.3000823655641458,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL,05_GARCH11_ged,2537,2.0,21.00362278239279
2537,10.501811391196394,10,10,15,1.0,10.357981132970178,10.357981132970178,6.330625709218553,3.704855352952032,1.087047951964609,0.13850780912142913,6.330625709218552,2.3283612867506664,1.729695235300868,0.041842370221762515,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,AU,08_EGARCH11_t,2537,0.5,21.00362278239279
2537,21.00362278239279,21,21,15,1.0,16.638543570154365,16.638543570154365,13.660624304412574,6.072796600421602,0.4903703288094731,0.3119359343938678,13.66062430441257,3.513604213606914,0.8475397582372522,0.19834716805489183,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,AU,08_EGARCH11_t,2537,1.0,21.00362278239279
2537,31.505434173589183,31,31,15,1.0,24.023672554284317,24.023672554284317,21.001734639465976,8.330806664529655,0.3627425334073523,0.35839861179904153,21.00173463946598,4.393703658667347,0.687788287418301,0.24579305647202254,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,AU,08_EGARCH11_t,2537,1.5,21.00362278239279
2537,42.00724556478558,42,42,15,1.0,31.58347947749604,31.58347947749604,28.345614370241297,10.681028546875567,0.3031416958624168,0.3808909397407114,28.34561437024129,5.12568325316514,0.6316943414822503,0.26379331312855514,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,AU,08_EGARCH11_t,2537,2.0,21.00362278239279
2537,10.501811391196394,10,10,15,1.0,6.416390342996254,6.416390342996254,7.185612209685301,2.8891924497773203,-0.26624113140968964,0.60497324624563,7.1856122096853,2.5951417025565755,-0.29640842576390153,0.6165409042677304,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,CF,10_EGARCH21_t,2537,0.5,21.00362278239279
2537,21.00362278239279,21,21,15,1.0,16.098178175522516,16.098178175522516,15.505568217494183,5.349229121000526,0.11078417929450946,0.4558937456065225,15.505568217494181,3.916188124625111,0.15132315894172338,0.4398604007221849,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,CF,10_EGARCH21_t,2537,1.0,21.00362278239279
2537,31.505434173589183,31,31,15,1.0,24.956126888620304,24.956126888620304,23.838136667938585,7.515636491190268,0.14875522811570419,0.44087339012799465,23.838136667938585,4.8971281468072485,0.2282950715534386,0.40970842786863404,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,CF,10_EGARCH21_t,2537,1.5,21.00362278239279
2537,42.00724556478558,42,42,15,1.0,33.47118482648264,33.47118482648264,32.173848536526286,9.355123104802834,0.13867655993648176,0.44485287078056734,32.17384853652628,5.712976950818518,0.2270858610361606,0.4101784890669412,FAIL_TO_REJECT,-0.001227782700378332,0.8524165388321004,True,1.9605041979979115e-17,1.0,CF,10_EGARCH21_t,2537,2.0,21.00362278239279
2536,10.500431389683634,10,10,15,1.0,9.53181515634285,9.53181515634285,9.151980812477984,9.76211365151156,0.03890902702265229,0.48448145974851897,9.151980812477982,3.426090711899256,0.11086523265296337,0.45586160796124964,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,CU,19_AR1_EGARCH11_t,2536,0.5,21.000862779367267
2536,21.000862779367267,21,21,15,1.0,15.860087605915574,15.860087605915574,19.74894248927616,15.726799981034047,-0.2472756624393014,0.5976525536990003,19.74894248927616,5.170176458341225,-0.7521706298992101,0.7740257732445495,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,CU,19_AR1_EGARCH11_t,2536,1.0,21.000862779367267
2536,31.5012941690509,31,31,15,1.0,22.9542246986761,22.9542246986761,30.361962142133752,21.40158944245126,-0.3461302471658477,0.6353775835999984,30.361962142133756,6.465238236201331,-1.14577950151611,0.8740568005754457,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,CU,19_AR1_EGARCH11_t,2536,1.5,21.000862779367267
2536,42.001725558734535,42,42,15,1.0,33.31181111085936,33.31181111085936,40.97899332731955,26.92932720518377,-0.28471495622751,0.6120687343592185,40.97899332731954,7.542340598989649,-1.0165521055210975,0.8453167259167658,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,CU,19_AR1_EGARCH11_t,2536,2.0,21.000862779367267
2536,10.500431389683634,10,10,15,1.0,2.6451201845559806,2.6451201845559806,8.214114230182673,5.492610348400928,-1.013906629522337,0.8446863461568908,8.214114230182672,3.0483155539496996,-1.8269086474367624,0.9661432470703099,FAIL_TO_REJECT,-0.0007893403026644068,0.9857012769216795,True,5.603649335647478e-18,1.0,FG,19_AR1_EGARCH11_t,2536,0.5,21.000862779367267
2536,21.000862779367267,21,21,15,1.0,7.613734048367846,7.613734048367846,17.725132171501997,9.050577346808002,-1.1172102878829364,0.8680477885844462,17.725132171502,4.6000910775329045,-2.198086505834368,0.9860285290232352,FAIL_TO_REJECT,-0.0007893403026644068,0.9857012769216795,True,5.603649335647478e-18,1.0,FG,19_AR1_EGARCH11_t,2536,1.0,21.000862779367267
2536,31.5012941690509,31,31,15,1.0,14.103824290947191,14.103824290947191,27.250562517344484,12.628608617943359,-1.0410282418379606,0.8510687794578824,27.250562517344488,5.7523539020593075,-2.285453650842109,0.9888568793981866,FAIL_TO_REJECT,-0.0007893403026644068,0.9857012769216795,True,5.603649335647478e-18,1.0,FG,19_AR1_EGARCH11_t,2536,1.5,21.000862779367267
2536,42.001725558734535,42,42,15,1.0,22.33159890942042,22.33159890942042,36.779593306135546,16.173923046310243,-0.8932894236819771,0.8141488998291797,36.77959330613555,6.710690432461177,-2.1529818044991034,0.9843399457143641,FAIL_TO_REJECT,-0.0007893403026644068,0.9857012769216795,True,5.603649335647478e-18,1.0,FG,19_AR1_EGARCH11_t,2536,2.0,21.000862779367267
2536,10.500431389683634,10,10,15,1.0,5.9307889849937965,5.9307889849937965,6.1439918335174335,3.7320339180133475,-0.057127789620178504,0.5227783001747066,6.1439918335174335,2.2962853202867315,-0.09284684557275091,0.5369873828341916,FAIL_TO_REJECT,-0.01331981085868793,0.9980850629973903,True,-1.9612772674766174e-17,1.0,HC,19_AR1_EGARCH11_t,2536,0.5,21.000862779367267
