symbol,model_name,model_type,mean,lags,vol,p,o,q,power,dist,sample_start,sample_end,sample_size,reliability,fit_success,convergence_flag,convergence_ok,params_ok,param_check_reason,hl_moment_condition_ok,hl_moment_condition_reason,persistence_warning_flag,persistence_warning_reason,loglikelihood,aic,bic,nobs_model,params_json,fit_warnings,fit_warning_flag,model_usable,diag_n,lb_z_p_lag10,lb_z2_p_lag10,arch_lm_p_lag10,traditional_diag_pass,hl_hl_n,hl_bandwidth_p,hl_max_lag,hl_active_lag_count,hl_hl_weight_grid_size,hl_hl_weight_scale,hl_Q_gsd,hl_TQ_gsd,hl_C_robust,hl_D_robust,hl_M_robust,hl_pvalue,hl_C_iid,hl_D_iid,hl_M_iid,hl_pvalue_iid,hl_decision,hl_z_raw_mean,hl_z_raw_second_moment,hl_z_restandardized,hl_z_used_mean,hl_z_used_second_moment,hl_pvalue_adj_symbol,hl_decision_adj_symbol
AG,01_ARCH5_t,arch,Constant,,ARCH,5,0,0,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,False,fourth_moment_warning:t_nu=2.9989,False,ok,-4470.878371499433,8957.756742998867,9004.466643475662,2537,"{""mu"": 0.036599159307036534, ""omega"": 1.0244097781316066, ""alpha[1]"": 0.14851804913257605, ""alpha[2]"": 0.2063320462473475, ""alpha[3]"": 0.17604985637339246, ""alpha[4]"": 0.17268005892347216, ""alpha[5]"": 0.2964199893232118, ""nu"": 2.9988715959449626}",,False,True,2537,0.29476477804374906,0.04189366550321065,0.04842395400381521,False,2537,21.00362278239279,21,21,15,1.0,22.220830525348013,22.220830525348013,14.35080249095264,,,,14.350802490952637,3.588440033967535,2.1931613625695543,0.014147877609029025,VARIANCE_NOT_COMPUTED,0.012188948797227303,0.8378715491803218,True,-7.001800707135398e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,02_GARCH11_normal,arch,Constant,,GARCH,1,0,1,2.0,normal,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=0.9997,True,ok,False,ok,-4572.794433334757,9153.588866669514,9176.943816907911,2537,"{""mu"": 0.020162650534852878, ""omega"": 0.008406581767306649, ""alpha[1]"": 0.04579585175545789, ""beta[1]"": 0.9539488047889304}",,False,False,2537,0.18853151280205238,0.9809139764007379,0.9813679837080587,True,2537,21.00362278239279,21,21,15,1.0,14.629934381043254,14.629934381043254,13.142293417753525,,,,13.142293417753523,3.2930192004941152,0.45175593360236466,0.32572240925234275,VARIANCE_NOT_COMPUTED,0.024727884012950844,1.0001707055897238,True,4.2010804242812386e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,03_GARCH11_t,arch,Constant,,GARCH,1,0,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0000,False,fourth_moment_warning:t_nu=3.6095,False,ok,-4396.475742502146,8802.951485004292,8832.14517280229,2537,"{""mu"": 0.02395233779714484, ""omega"": 0.009383928175744141, ""alpha[1]"": 0.047130894294680946, ""beta[1]"": 0.952869105703304, ""nu"": 3.609541967679451}",,False,False,2537,0.19190006712731336,0.9836545638557069,0.9840154646531021,True,2537,21.00362278239279,21,21,15,1.0,14.64953909240772,14.64953909240772,13.156783684608733,,,,13.156783684608731,3.2968170877714287,0.4527868450257445,0.32535111855974774,VARIANCE_NOT_COMPUTED,0.021743003454366253,0.9860498490668036,True,-4.2010804242812386e-18,0.9999999999999998,,VARIANCE_NOT_COMPUTED
AG,04_GARCH11_skewt,arch,Constant,,GARCH,1,0,1,2.0,skewt,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0000,False,fourth_moment_warning:skewt_eta=3.6094,False,ok,-4396.475043927838,8804.950087855676,8839.982513213272,2537,"{""mu"": 0.024386718046035573, ""omega"": 0.009380401567823602, ""alpha[1]"": 0.04711887102207796, ""beta[1]"": 0.9528811289772633, ""eta"": 3.6093695906239818, ""lambda"": 0.0008706039557931792}",,False,False,2537,0.19186992302296219,0.9835939589711884,0.9839536086356545,True,2537,21.00362278239279,21,21,15,1.0,14.652828855156265,14.652828855156265,13.15627142628638,,,,13.156271426286379,3.2966832934168226,0.4539585078913633,0.32492934554022346,VARIANCE_NOT_COMPUTED,0.021423240809065033,0.9860584886849385,True,-5.601440565708318e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,05_GARCH11_ged,arch,Constant,,GARCH,1,0,1,2.0,ged,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0000,True,ok,False,ok,-4379.284588671522,8768.569177343044,8797.762865141041,2537,"{""mu"": 0.023956507914326578, ""omega"": 0.00638520144409695, ""alpha[1]"": 0.04587728214285927, ""beta[1]"": 0.9541227178572067, ""nu"": 1.011139340196404}",,False,False,2537,0.18794791769052754,0.9872313957000469,0.9873912048786859,True,2537,21.00362278239279,21,21,15,1.0,14.310690546934238,14.310690546934238,13.19655452871815,,,,13.196554528718146,3.3074636623925135,0.3368551046786593,0.3681130652900946,VARIANCE_NOT_COMPUTED,0.021957396518012907,1.0237556725180297,True,4.2010804242812386e-18,1.0000000000000004,,VARIANCE_NOT_COMPUTED
AG,06_GARCH12_t,arch,Constant,,GARCH,1,0,2,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0000,False,fourth_moment_warning:t_nu=3.6094,False,ok,-4396.4757420693095,8804.951484138619,8839.983909496215,2537,"{""mu"": 0.02394301369840336, ""omega"": 0.009382976033675335, ""alpha[1]"": 0.047129520395144585, ""beta[1]"": 0.952870479604863, ""beta[2]"": 0.0, ""nu"": 3.6094415420124277}",,False,False,2537,0.1918956866683394,0.9836505682477833,0.9840116317300336,True,2537,21.00362278239279,21,21,15,1.0,14.649530525403277,14.649530525403277,13.156760099589343,,,,13.156760099589341,3.296810862067807,0.45279225538514767,0.3253491704339089,VARIANCE_NOT_COMPUTED,0.02175000442580034,0.9860573224878835,True,-4.2010804242812386e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,07_GARCH21_t,arch,Constant,,GARCH,2,0,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0000,False,fourth_moment_warning:t_nu=3.6090,False,ok,-4396.4103520319295,8804.820704063859,8839.853129421455,2537,"{""mu"": 0.023814112864600057, ""omega"": 0.009623759577862087, ""alpha[1]"": 0.03823551740275011, ""alpha[2]"": 0.00993403507054009, ""beta[1]"": 0.9518304475266073, ""nu"": 3.6089816708463562}",,False,False,2537,0.18775867135031152,0.9789214434832065,0.9792829163828425,True,2537,21.00362278239279,21,21,15,1.0,14.956126664062992,14.956126664062992,13.210233095688775,,,,13.210233095688775,3.3104187468896424,0.5273935721922189,0.2989601531421542,VARIANCE_NOT_COMPUTED,0.02178679823664892,0.9866813363606499,True,1.9605041979979115e-17,1.0,,VARIANCE_NOT_COMPUTED
AG,08_EGARCH11_t,arch,Constant,,EGARCH,1,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,False,fourth_moment_warning:t_nu=3.1640,False,ok,-4379.79036452196,8771.58072904392,8806.613154401517,2537,"{""mu"": 0.03340877457807639, ""omega"": 0.022501521714729616, ""alpha[1]"": 0.11727792859989551, ""gamma[1]"": 0.04447961321817227, ""beta[1]"": 0.9960523866113249, ""nu"": 3.164025424458047}",,False,True,2537,0.09867775930398229,0.214679716519996,0.28098021170164916,True,2537,21.00362278239279,21,21,15,1.0,18.00239931547566,18.00239931547566,14.25796545331094,,,,14.257965453310932,3.593437293041537,1.0420200929665828,0.148701181694189,VARIANCE_NOT_COMPUTED,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,,VARIANCE_NOT_COMPUTED
AG,09_EGARCH11_skewt,arch,Constant,,EGARCH,1,1,1,2.0,skewt,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,False,fourth_moment_warning:skewt_eta=3.1650,False,ok,-4379.752257158753,8773.504514317507,8814.375677234702,2537,"{""mu"": 0.03705568296642454, ""omega"": 0.02256686864472312, ""alpha[1]"": 0.11689673355914394, ""gamma[1]"": 0.04478141107025313, ""beta[1]"": 0.9959960377801992, ""eta"": 3.1650012569872317, ""lambda"": 0.006625296658505064}",,False,True,2537,0.09818747039913271,0.19628070699471503,0.2619046015033488,True,2537,21.00362278239279,21,21,15,1.0,18.031709823863764,18.031709823863764,14.2553035162844,,,,14.255303516284402,3.5928342640413264,1.0510939358865803,0.14660772447431092,VARIANCE_NOT_COMPUTED,0.00967559589233994,0.8363803451566282,True,-9.802520989989558e-18,1.0,,VARIANCE_NOT_COMPUTED
AG,10_EGARCH21_t,arch,Constant,,EGARCH,2,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,False,fourth_moment_warning:t_nu=3.1610,False,ok,-4379.751857853552,8773.503715707104,8814.3748786243,2537,"{""mu"": 0.033112268749594984, ""omega"": 0.02282995692744509, ""alpha[1]"": 0.10160831073289332, ""alpha[2]"": 0.01726421964809516, ""gamma[1]"": 0.04398357473893877, ""beta[1]"": 0.9960112761879658, ""nu"": 3.1610019966418053}",,False,True,2537,0.09714904855822062,0.1699574489572106,0.23047893779639791,True,2537,21.00362278239279,21,21,15,1.0,18.344169203495927,18.344169203495927,14.353586289410586,,,,14.353586289410588,3.6181337822605064,1.1029395689155908,0.13502670462477362,VARIANCE_NOT_COMPUTED,0.012262684456202736,0.8355968159962329,True,-4.2010804242812386e-18,1.0000000000000002,,VARIANCE_NOT_COMPUTED
AG,11_GJR11_t,arch,Constant,,GARCH,1,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0230,False,fourth_moment_warning:t_nu=3.6660,False,ok,-4386.8582980100455,8785.716596020091,8820.749021377687,2537,"{""mu"": 0.030154978786778575, ""omega"": 0.008009670674923978, ""alpha[1]"": 0.06433328329132526, ""gamma[1]"": -0.046031117617287495, ""beta[1]"": 0.958682278382516, ""nu"": 3.6659884090518977}",,False,False,2537,0.15168409185383,0.14732682769614286,0.20854329106768746,True,2537,21.00362278239279,21,21,15,1.0,15.684382718564166,15.684382718564166,13.40205979125934,,,,13.402059791259338,3.373417534288425,0.6765610554005291,0.249342247772933,VARIANCE_NOT_COMPUTED,0.01664321522834664,0.990850041732933,True,-4.2010804242812386e-18,1.0,,VARIANCE_NOT_COMPUTED
