side,backtest_method,var_level,tail_prob,var_boundary_latest_pct,rolling_start,rolling_end,refit_every,fixed_one_step_count,multistep_fallback_count,forecast_fallback_share,n,violations,violation_rate,expected_rate,kupiec_lr,kupiec_pvalue,kupiec_pass,symbol,best_model_name,sample_size,reliability
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,2.8081504879950874,2023-04-25,2026-06-18,20,762,0,0.0,762,9,0.011811023622047244,0.010000000000000009,0.2385937354016221,0.6252236430750515,True,CU,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-2.6067671851060927,2023-04-25,2026-06-18,20,762,0,0.0,762,36,0.047244094488188976,0.050000000000000044,0.12402137460560425,0.7247132594341684,True,FG,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,2.7260169299229187,2023-04-25,2026-06-18,20,762,0,0.0,762,43,0.05643044619422572,0.050000000000000044,0.6380243410033586,0.4244271186236851,True,FG,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-4.5567331074729855,2023-04-25,2026-06-18,20,762,0,0.0,762,6,0.007874015748031496,0.010000000000000009,0.37527359009294514,0.5401436490320203,True,FG,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,4.675982852289811,2023-04-25,2026-06-18,20,762,0,0.0,762,13,0.01706036745406824,0.010000000000000009,3.1669576805813335,0.07514229653849636,True,FG,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-1.0421458695599928,2023-04-25,2026-06-18,20,762,0,0.0,762,37,0.048556430446194225,0.050000000000000044,0.03373931344577841,0.854262425876042,True,HC,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,1.1480904752170604,2023-04-25,2026-06-18,20,762,0,0.0,762,29,0.03805774278215223,0.050000000000000044,2.4846476768782395,0.11496208970108612,True,HC,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-1.7469234489067327,2023-04-25,2026-06-18,20,762,0,0.0,762,2,0.0026246719160104987,0.010000000000000009,5.931247683238169,0.014874706568781093,False,HC,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,1.8528680545638003,2023-04-25,2026-06-18,20,762,0,0.0,762,5,0.006561679790026247,0.010000000000000009,1.0357043042717038,0.3088226459445207,True,HC,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-1.743081863020349,2023-04-25,2026-06-18,20,762,0,0.0,762,35,0.045931758530183726,0.050000000000000044,0.2726209598250193,0.6015790046397674,True,I,09_EGARCH11_skewt,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,1.7341589509181226,2023-04-25,2026-06-18,20,762,0,0.0,762,35,0.045931758530183726,0.050000000000000044,0.2726209598250193,0.6015790046397674,True,I,09_EGARCH11_skewt,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-2.932473604611138,2023-04-25,2026-06-18,20,762,0,0.0,762,5,0.006561679790026247,0.010000000000000009,1.0357043042717038,0.3088226459445207,True,I,09_EGARCH11_skewt,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,2.7244799369467905,2023-04-25,2026-06-18,20,762,0,0.0,762,5,0.006561679790026247,0.010000000000000009,1.0357043042717038,0.3088226459445207,True,I,09_EGARCH11_skewt,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-3.9274350128765416,2023-04-25,2026-06-18,20,762,0,0.0,762,41,0.05380577427821522,0.050000000000000044,0.22697150647599074,0.6337785602928627,True,JM,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,4.059833687985225,2023-04-25,2026-06-18,20,762,0,0.0,762,34,0.04461942257217848,0.050000000000000044,0.4811222117698435,0.48791444007219,True,JM,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-6.6557743682587365,2023-04-25,2026-06-18,20,762,0,0.0,762,3,0.003937007874015748,0.010000000000000009,3.6752518936697243,0.05522590830673946,True,JM,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,6.78817304336742,2023-04-25,2026-06-18,20,762,0,0.0,762,11,0.014435695538057743,0.010000000000000009,1.3317826285427117,0.24848833378519863,True,JM,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-1.4187548507606857,2023-04-25,2026-06-18,20,762,0,0.0,762,37,0.048556430446194225,0.050000000000000044,0.03373931344577841,0.854262425876042,True,M,14_TARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,1.465557397954604,2023-04-25,2026-06-18,20,762,0,0.0,762,33,0.04330708661417323,0.050000000000000044,0.7512027305743914,0.3860957061298499,True,M,14_TARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-2.540388842162613,2023-04-25,2026-06-18,20,762,0,0.0,762,7,0.009186351706036745,0.010000000000000009,0.05238232897319506,0.8189685114034441,True,M,14_TARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,2.5871913893565313,2023-04-25,2026-06-18,20,762,0,0.0,762,4,0.005249343832020997,0.010000000000000009,2.101487298158524,0.14715593601862642,True,M,14_TARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-4.7576605546196875,2023-04-25,2026-06-18,20,762,0,0.0,762,32,0.04199475065616798,0.050000000000000044,1.0846420739705422,0.297661408520594,True,MA,05_GARCH11_ged,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,4.764364333368751,2023-04-25,2026-06-18,20,762,0,0.0,762,30,0.03937007874015748,0.050000000000000044,1.9492838692539465,0.16266404153607028,True,MA,05_GARCH11_ged,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-7.465179626277635,2023-04-25,2026-06-18,20,762,0,0.0,762,9,0.011811023622047244,0.010000000000000009,0.2385937354016221,0.6252236430750515,True,MA,05_GARCH11_ged,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,7.4718834050266985,2023-04-25,2026-06-18,20,762,0,0.0,762,8,0.010498687664041995,0.010000000000000009,0.018834199315762135,0.890842875046879,True,MA,05_GARCH11_ged,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-1.758478094261135,2023-04-25,2026-06-18,20,762,0,0.0,762,45,0.05905511811023622,0.050000000000000044,1.2463174043421077,0.26425700041549727,True,OI,08_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,1.813305088017494,2023-04-25,2026-06-18,20,762,0,0.0,762,36,0.047244094488188976,0.050000000000000044,0.12402137460560425,0.7247132594341684,True,OI,08_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-3.0243016582793985,2023-04-25,2026-06-18,20,762,0,0.0,762,5,0.006561679790026247,0.010000000000000009,1.0357043042717038,0.3088226459445207,True,OI,08_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,3.079128652035757,2023-04-25,2026-06-18,20,762,0,0.0,762,7,0.009186351706036745,0.010000000000000009,0.05238232897319506,0.8189685114034441,True,OI,08_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-2.0219857994577852,2023-04-25,2026-06-18,20,762,0,0.0,762,26,0.03412073490813648,0.050000000000000044,4.531011442855856,0.03328593925852619,False,P,09_EGARCH11_skewt,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,1.9022559383745463,2023-04-25,2026-06-18,20,762,0,0.0,762,35,0.045931758530183726,0.050000000000000044,0.2726209598250193,0.6015790046397674,True,P,09_EGARCH11_skewt,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-3.2959350862549117,2023-04-25,2026-06-18,20,762,0,0.0,762,6,0.007874015748031496,0.010000000000000009,0.37527359009294514,0.5401436490320203,True,P,09_EGARCH11_skewt,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,2.962832775137213,2023-04-25,2026-06-18,20,762,0,0.0,762,6,0.007874015748031496,0.010000000000000009,0.37527359009294514,0.5401436490320203,True,P,09_EGARCH11_skewt,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-1.0797347102840908,2023-04-25,2026-06-18,20,762,0,0.0,762,40,0.05249343832020997,0.050000000000000044,0.09820500384921615,0.7539944261960428,True,RB,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,1.1978846786761652,2023-04-25,2026-06-18,20,762,0,0.0,762,29,0.03805774278215223,0.050000000000000044,2.4846476768782395,0.11496208970108612,True,RB,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-1.8027314277967128,2023-04-25,2026-06-18,20,762,0,0.0,762,4,0.005249343832020997,0.010000000000000009,2.101487298158524,0.14715593601862642,True,RB,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,1.9208813961887872,2023-04-25,2026-06-18,20,762,0,0.0,762,5,0.006561679790026247,0.010000000000000009,1.0357043042717038,0.3088226459445207,True,RB,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-2.1770862420929085,2023-04-25,2026-06-18,20,762,0,0.0,762,34,0.04461942257217848,0.050000000000000044,0.4811222117698435,0.48791444007219,True,RU,08_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,2.206571607207554,2023-04-25,2026-06-18,20,762,0,0.0,762,40,0.05249343832020997,0.050000000000000044,0.09820500384921615,0.7539944261960428,True,RU,08_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-4.048199366013069,2023-04-25,2026-06-18,20,762,0,0.0,762,4,0.005249343832020997,0.010000000000000009,2.101487298158524,0.14715593601862642,True,RU,08_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,4.0776847311277145,2023-04-25,2026-06-18,20,762,0,0.0,762,9,0.011811023622047244,0.010000000000000009,0.2385937354016221,0.6252236430750515,True,RU,08_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-3.729989210968907,2023-04-25,2026-06-18,20,762,0,0.0,762,44,0.05774278215223097,0.050000000000000044,0.9180488848817845,0.337987793409691,True,SN,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,3.7679264112494613,2023-04-25,2026-06-18,20,762,0,0.0,762,53,0.06955380577427822,0.050000000000000044,5.497041030902437,0.019048679841423555,False,SN,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-6.694590536260141,2023-04-25,2026-06-18,20,762,0,0.0,762,5,0.006561679790026247,0.010000000000000009,1.0357043042717038,0.3088226459445207,True,SN,19_AR1_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,6.732527736540695,2023-04-25,2026-06-18,20,762,0,0.0,762,8,0.010498687664041995,0.010000000000000009,0.018834199315762135,0.890842875046879,True,SN,19_AR1_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-0.9976551809309733,2023-04-25,2026-06-18,20,762,0,0.0,762,43,0.05643044619422572,0.050000000000000044,0.6380243410033586,0.4244271186236851,True,SR,08_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,0.9974069780688495,2023-04-25,2026-06-18,20,762,0,0.0,762,22,0.028871391076115485,0.050000000000000044,8.391888384626242,0.0037689914513854283,False,SR,08_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-1.7040283249444768,2023-04-25,2026-06-18,20,762,0,0.0,762,9,0.011811023622047244,0.010000000000000009,0.2385937354016221,0.6252236430750515,True,SR,08_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,1.7037801220823527,2023-04-25,2026-06-18,20,762,0,0.0,762,2,0.0026246719160104987,0.010000000000000009,5.931247683238169,0.014874706568781093,False,SR,08_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-4.053194315056241,2023-04-25,2026-06-18,20,762,0,0.0,762,39,0.051181102362204724,0.050000000000000044,0.022213794846607016,0.8815197583747487,True,TA,05_GARCH11_ged,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,4.085599202447958,2023-04-25,2026-06-18,20,762,0,0.0,762,38,0.049868766404199474,0.050000000000000044,0.0002765105501794096,0.9867329031190017,True,TA,05_GARCH11_ged,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-6.6420144708614774,2023-04-25,2026-06-18,20,762,0,0.0,762,9,0.011811023622047244,0.010000000000000009,0.2385937354016221,0.6252236430750515,True,TA,05_GARCH11_ged,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,6.6744193582531945,2023-04-25,2026-06-18,20,762,0,0.0,762,6,0.007874015748031496,0.010000000000000009,0.37527359009294514,0.5401436490320203,True,TA,05_GARCH11_ged,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-2.0803694215158925,2023-04-25,2026-06-18,20,762,0,0.0,762,33,0.04330708661417323,0.050000000000000044,0.7512027305743914,0.3860957061298499,True,V,03_GARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,2.0680713642699757,2023-04-25,2026-06-18,20,762,0,0.0,762,33,0.04330708661417323,0.050000000000000044,0.7512027305743914,0.3860957061298499,True,V,03_GARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-3.3946482153494144,2023-04-25,2026-06-18,20,762,0,0.0,762,4,0.005249343832020997,0.010000000000000009,2.101487298158524,0.14715593601862642,True,V,03_GARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,3.3823501581034976,2023-04-25,2026-06-18,20,762,0,0.0,762,12,0.015748031496062992,0.010000000000000009,2.164606767963676,0.14122074470479407,True,V,03_GARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-1.3130698878848825,2023-04-25,2026-06-18,20,762,0,0.0,762,26,0.03412073490813648,0.050000000000000044,4.531011442855856,0.03328593925852619,False,Y,09_EGARCH11_skewt,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,1.2289285117196864,2023-04-25,2026-06-18,20,762,0,0.0,762,28,0.03674540682414698,0.050000000000000044,3.0917191894190807,0.07869162744600333,True,Y,09_EGARCH11_skewt,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-2.2269435073401844,2023-04-25,2026-06-18,20,762,0,0.0,762,9,0.011811023622047244,0.010000000000000009,0.2385937354016221,0.6252236430750515,True,Y,09_EGARCH11_skewt,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,1.9932450360645957,2023-04-25,2026-06-18,20,762,0,0.0,762,4,0.005249343832020997,0.010000000000000009,2.101487298158524,0.14715593601862642,True,Y,09_EGARCH11_skewt,2537,HIGH
