hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,dd_label,c,lambda,candidate_p,status,symbol,best_model_name
2537,5.322815099530681,5,5,15,1.0,5.5108849024808295,5.5108849024808295,2.858820425470315,2.1261101895852734,1.247378658924463,0.10612934393722306,2.8588204254703147,1.4759149615001605,1.7968951776970155,0.03617613117355711,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,0.75,0.25,5.322815099530681,ok,AG,08_EGARCH11_t
2537,7.876937572712969,7,7,15,1.0,8.283368011341194,8.283368011341194,4.702952507432233,2.9452623789283727,1.2156524761680783,0.1120586674618933,4.702952507432232,1.9705518388077545,1.8169608296502493,0.03461155565406315,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,0.75,0.3,7.876937572712969,ok,AG,08_EGARCH11_t
2537,11.656641150260501,11,11,15,1.0,11.675635013725154,11.675635013725154,7.447389103682319,3.991481223683039,1.0593174997178936,0.14472760391085604,7.44738910368232,2.5420425493142935,1.663326174923149,0.04812358097709868,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,0.75,0.35,11.656641150260501,ok,AG,08_EGARCH11_t
2537,17.250013936462846,17,17,15,1.0,15.535544517769205,15.535544517769205,11.520934918114584,5.357073136899172,0.7494035450071143,0.22680700747174154,11.520934918114584,3.2119307512577504,1.2499054028741285,0.1056670527669259,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,0.75,0.4,17.250013936462846,ok,AG,08_EGARCH11_t
2537,7.0970867993742415,7,7,15,1.0,7.4612186094274335,7.4612186094274335,4.137645899376331,2.7067741579774496,1.2278721888399202,0.10974747554182862,4.137645899376332,1.832280958580987,1.813899060886955,0.034846633677958705,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,1.0,0.25,7.0970867993742415,ok,AG,08_EGARCH11_t
2537,10.50258343028396,10,10,15,1.0,10.740556320918634,10.740556320918634,6.608008810427828,3.6862496875727615,1.1210709693438896,0.13112882736291653,6.608008810427829,2.3813752426553867,1.7353617508355166,0.041338375236171454,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,1.0,0.3,10.50258343028396,ok,AG,08_EGARCH11_t
2537,15.542188200347336,15,15,15,1.0,14.426580516290477,14.426580516290477,10.276436709982214,4.956018364167273,0.8373947595340648,0.20118535522052006,10.276436709982212,3.022771270692371,1.3729599214292079,0.08488240328725971,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,1.0,0.35,15.542188200347336,ok,AG,08_EGARCH11_t
2537,23.00001858195046,23,23,15,1.0,19.366389432070658,19.366389432070658,15.71412979457046,6.637819052752694,0.5502198249868849,0.29108430371766114,15.714129794570459,3.780905938792747,0.9659747416690232,0.16702841009102853,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,1.0,0.4,23.00001858195046,ok,AG,08_EGARCH11_t
2537,10.645630199061362,10,10,15,1.0,10.860428662526868,10.860428662526868,6.712197839315423,3.724620572040252,1.1137324575692686,0.13269699024677595,6.712197839315423,2.401846920695978,1.7271004190431174,0.04207481518661216,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,1.5,0.25,10.645630199061362,ok,AG,08_EGARCH11_t
2537,15.753875145425939,15,15,15,1.0,14.564512827576385,14.564512827576385,10.430791415844828,5.006227525371829,0.825715849066315,0.20448264974961516,10.43079141584483,3.04684122062686,1.3567236073040523,0.0874345242637099,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,1.5,0.3,15.753875145425939,ok,AG,08_EGARCH11_t
