symbol,best_model_name,latest_date,latest_close,latest_return_pct,latest_cond_vol_pct,median_cond_vol_pct,vol_percentile,vol_state,position_scale_raw,position_scale_capped,forecast_vol_1d_pct,forecast_vol_5d_pct,forecast_vol_10d_pct,sample_size,reliability
AG,08_EGARCH11_t,2026-06-18,16493.0,-2.23044200475983,3.8051788137850426,1.5863730789411619,0.9586125344895546,extreme_high_vol,0.4168984314729703,0.4168984314729703,3.7329786088816475,3.7168013668425823,3.7766175183969963,2537,HIGH
AL,05_GARCH11_ged,2026-06-18,23980.0,0.41788610749668,0.8799982132372643,0.9602151630839749,0.3870713441072132,normal_vol,1.0911558099096759,1.0911558099096759,0.8607058391940507,0.8705413820393997,0.8823489435905767,2537,HIGH
AU,08_EGARCH11_t,2026-06-18,937.96,-0.5295349712262101,1.5049207581316528,0.7983743392408608,0.9463933780055184,high_vol,0.5305092211180847,0.5305092211180847,1.4348687903589625,1.4250660388044536,1.3749613719729852,2537,HIGH
CF,10_EGARCH21_t,2026-06-18,16010.0,0.031235358679679998,1.1038142437576441,1.2240419760682186,0.3815530153724872,normal_vol,1.108920258087349,1.108920258087349,0.9058263858318624,1.0263313708435733,1.0452088119268912,2537,HIGH
CU,19_AR1_EGARCH11_t,2026-06-18,104780.0,-0.5899722127188199,1.079873933300696,1.0241290377600936,0.5918769716088328,normal_vol,0.9483783302647051,0.9483783302647051,1.0519080521474344,1.0655908783666332,1.07229471974447,2537,HIGH
FG,19_AR1_EGARCH11_t,2026-06-18,978.0,-1.82375875497809,1.7480942792973138,1.8648173198074545,0.4250788643533123,normal_vol,1.0667715934389193,1.0667715934389193,1.76704606443926,1.7789797808704224,1.7930157142583274,2537,HIGH
HC,19_AR1_EGARCH11_t,2026-06-18,3349.0,-0.65476424398561,0.6950690213561621,1.3769947974950538,0.03667192429022082,low_vol,1.9810907337063788,1.5,0.707400976019765,0.7306702945507955,0.7545236238114575,2537,HIGH
I,09_EGARCH11_skewt,2026-06-18,747.0,-0.06691201320242,1.103159543785843,2.213691102252389,0.013401655498620418,low_vol,2.0066826369061754,1.5,1.0714633008825605,1.087281621818427,1.105424028227324,2537,HIGH
JM,19_AR1_EGARCH11_t,2026-06-18,1271.0,-5.47295551935657,2.574388451831977,2.5014939332403334,0.5461356466876972,normal_vol,0.9716847243702594,0.9716847243702594,2.684999088290124,2.6917229261537097,2.700301638530992,2537,HIGH
M,14_TARCH11_t,2026-06-18,2942.0,-0.50856186910943,0.9640592753706875,1.2494696734475894,0.07055577453685455,low_vol,1.2960506738210258,1.2960506738210258,0.9475594358606882,0.9775567992855689,1.0022944668742269,2537,HIGH
MA,05_GARCH11_ged,2026-06-18,2566.0,-1.8533349008585502,2.8839162340412736,1.6319604540625032,0.9661016949152542,extreme_high_vol,0.5658834451566623,0.5658834451566623,2.8333603862206576,2.797517520789842,2.7542582339734247,2537,HIGH
OI,08_EGARCH11_t,2026-06-18,9685.0,-1.07831596834597,1.1602307029718586,1.2530947119841334,0.3921955065037446,normal_vol,1.080039261824747,1.080039261824747,1.1615759524754652,1.1672972278696085,1.1709444075457678,2537,HIGH
P,09_EGARCH11_skewt,2026-06-18,9301.0,-0.51474644488486,1.230287239938747,1.5123319793114265,0.27000394166338193,normal_vol,1.2292511295059207,1.2292511295059207,1.2136090784262938,1.2178992954481098,1.2228549493208993,2537,HIGH
RB,19_AR1_EGARCH11_t,2026-06-18,3131.0,-0.76360536489078,0.7215708278144027,1.4152174539285256,0.026025236593059938,low_vol,1.9613008167405261,1.5,0.7354261623612699,0.7542791460022029,0.7790528516870097,2537,HIGH
RU,08_EGARCH11_t,2026-06-18,17785.0,-0.58864921202092,1.5295921428465673,1.6365613184307852,0.3492313756405203,normal_vol,1.0699331361529802,1.0699331361529802,1.5149142722170001,1.513970645739538,1.5191118271843627,2537,HIGH
SN,19_AR1_EGARCH11_t,2026-06-18,414330.0,-2.04966326929967,2.52536526827979,1.432139758695481,0.9085173501577287,high_vol,0.5671020254709591,0.5671020254709591,2.5304682372914225,2.538691581454253,2.51099853224524,2537,HIGH
SR,08_EGARCH11_t,2026-06-18,5320.0,-0.33777476287792996,0.6472878345669726,0.8324043103685153,0.08592826172644856,low_vol,1.28598788037687,1.28598788037687,0.6419623524776165,0.6518382545157286,0.6598730998863623,2537,HIGH
TA,05_GARCH11_ged,2026-06-18,5868.0,1.33815686958313,2.4767233056692306,1.42136088192579,0.9432400472999606,high_vol,0.5738876355999432,0.5738876355999432,2.417170461862318,2.4053436069329504,2.3908913579026327,2537,HIGH
V,03_GARCH11_t,2026-06-18,4616.0,-0.04331817265052,1.3060159937428215,1.2422051142498411,0.559322033898305,normal_vol,0.9511408131303897,0.9511408131303897,1.2676292316576918,1.279725078978831,1.2939822799113376,2537,HIGH
Y,09_EGARCH11_skewt,2026-06-18,8353.0,-0.3704371804917,0.8121991859124821,1.1427764175066975,0.14229404808829327,low_vol,1.4070149753016823,1.4070149753016823,0.8038382302384148,0.8089762668883519,0.8108785048066964,2537,HIGH
