symbol,best_model_name,best_status,selection_criterion,sample_start,sample_end,sample_size,reliability,best_aic,best_bic,best_loglikelihood,traditional_diag_pass,lb_z_p_lag10,lb_z2_p_lag10,arch_lm_p_lag10,hl_screen_decision,hl_screen_pvalue,hl_screen_pvalue_adj_symbol,hl_screen_M_robust,hl_screen_M_iid,hl_moment_condition_ok,hl_moment_condition_reason,persistence_warning_flag,persistence_warning_reason,fit_warnings,fit_warning_flag,params_json,best_by_aic,best_by_bic,sample_size_health,traditional_diag_pass_health,fit_warning_flag_health,hl_moment_condition_ok_health,hl_moment_condition_reason_health,persistence_warning_flag_health,persistence_warning_reason_health,hl_core_decision,hl_core_pvalue,hl_core_M_robust,hl_core_M_iid,hl_core_Q_gsd,hl_core_TQ_gsd,reject_count,valid_bandwidth_count,reject_share,bandwidth_stability,model_health_raw,model_health,pvalue_adj_across_symbols,decision_adj_across_symbols,model_health_adjusted,dd_status,dd_selected_p,dd_selected_M_robust,dd_selected_pvalue,dd_selected_decision,dd_post_selection_boundary,latest_date,latest_close,latest_return_pct,latest_cond_vol_pct,median_cond_vol_pct,vol_percentile,vol_state,position_scale_raw,position_scale_capped,forecast_vol_1d_pct,forecast_vol_5d_pct,forecast_vol_10d_pct,sample_size_vol,reliability_vol
MA,05_GARCH11_ged,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,9630.620047290487,9659.813735088484,-4810.310023645244,True,0.6974269570407887,0.3503423466919582,0.3775131712863249,VARIANCE_NOT_COMPUTED,,,,0.7517905259879654,True,ok,False,ok,,False,"{""mu"": 0.002783880999386766, ""omega"": 0.03612673596456837, ""alpha[1]"": 0.04815597579511283, ""beta[1]"": 0.9409551565400422, ""nu"": 1.3048190672253828}",05_GARCH11_ged,05_GARCH11_ged,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.2842558970602145,0.5702446234818986,0.7517905259879654,11.36103954798902,11.36103954798902,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,7.876937572712969,0.8200982997132812,0.2060800357227599,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,2566.0,-1.8533349008585502,2.8839162340412736,1.6319604540625032,0.9661016949152542,extreme_high_vol,0.5658834451566623,0.5658834451566623,2.8333603862206576,2.797517520789842,2.7542582339734247,2537,HIGH
OI,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7846.1380467811505,7881.170472138746,-3917.0690233905752,True,0.9568408643949128,0.8970014637648602,0.9066550438537977,VARIANCE_NOT_COMPUTED,,,,-0.4436634927591018,True,ok,False,ok,,False,"{""mu"": 0.026510953329643167, ""omega"": 0.007865498357475187, ""alpha[1]"": 0.07138207156836379, ""gamma[1]"": 0.01592531996987194, ""beta[1]"": 0.9952838629356318, ""nu"": 4.4957962898003485}",19_AR1_EGARCH11_t,08_EGARCH11_t,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.5945036114621337,-0.23914547958994722,-0.4436634927591018,13.31692589787517,13.31692589787517,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,46.626564601042006,-0.010375295321761702,0.5041390697157995,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,9685.0,-1.07831596834597,1.1602307029718586,1.2530947119841334,0.3921955065037446,normal_vol,1.080039261824747,1.080039261824747,1.1615759524754652,1.1672972278696085,1.1709444075457678,2537,HIGH
P,09_EGARCH11_skewt,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,9098.971287555069,9139.842450472264,-4542.485643777534,True,0.07989094730549465,0.4494718333395292,0.48507239961605586,VARIANCE_NOT_COMPUTED,,,,1.1121485380853413,True,ok,False,ok,,False,"{""mu"": 0.01178792560791207, ""omega"": 0.00445438850663909, ""alpha[1]"": 0.06176479251565272, ""gamma[1]"": 0.018432888476353645, ""beta[1]"": 0.9975479947802643, ""eta"": 6.569938753721763, ""lambda"": -0.08756569776292022}",09_EGARCH11_skewt,09_EGARCH11_skewt,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.24571361772135036,0.6880405670084264,1.1121485380853413,15.825594733258976,15.825594733258976,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322815099530681,1.847136169385037,0.032363703786344566,REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,9301.0,-0.51474644488486,1.230287239938747,1.5123319793114265,0.27000394166338193,normal_vol,1.2292511295059207,1.2292511295059207,1.2136090784262938,1.2178992954481098,1.2228549493208993,2537,HIGH
RB,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8906.520822742343,8947.389225951243,-4446.260411371171,True,0.8092260683176221,0.9509764781643536,0.94934074799748,VARIANCE_NOT_COMPUTED,,,,0.4833613572962611,True,ok,False,ok,,False,"{""Const"": 0.03520808801728575, ""ret_pct[1]"": -0.04995241711773613, ""omega"": 0.011618376380227913, ""alpha[1]"": 0.1245562609530559, ""gamma[1]"": 0.01762917445773796, ""beta[1]"": 0.9936389700712333, ""nu"": 5.630649066488554}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.3895065852162255,0.2806052740033966,0.4833613572962611,14.9053009417642,14.9053009417642,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,7.096387337797782,0.463901322954191,0.3213592224735107,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,3131.0,-0.76360536489078,0.7215708278144027,1.4152174539285256,0.026025236593059938,low_vol,1.9613008167405261,1.5,0.7354261623612699,0.7542791460022029,0.7790528516870097,2537,HIGH
RU,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,9250.54836719275,9285.580792550347,-4619.274183596375,True,0.9055514892501798,0.995614528073855,0.9957846672186895,VARIANCE_NOT_COMPUTED,,,,0.6805035379741131,False,fourth_moment_warning:t_nu=3.3530,False,ok,,False,"{""mu"": 0.013560444796389634, ""omega"": 0.0036948643965445936, ""alpha[1]"": 0.0233881965048861, ""gamma[1]"": 0.03172908841922468, ""beta[1]"": 0.9987829744961244, ""nu"": 3.3530323562288062}",19_AR1_EGARCH11_t,08_EGARCH11_t,2537,True,False,False,fourth_moment_warning:t_nu=3.3530,False,ok,FAIL_TO_REJECT,0.41653980785515654,0.21075351204195508,0.6805035379741131,47.2304085789804,47.2304085789804,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,14.194173598748483,0.2014582178086925,0.4201701484858298,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,17785.0,-0.58864921202092,1.5295921428465673,1.6365613184307852,0.3492313756405203,normal_vol,1.0699331361529802,1.0699331361529802,1.5149142722170001,1.513970645739538,1.5191118271843627,2537,HIGH
SN,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8642.85095137747,8683.71935458637,-4314.425475688735,True,0.18179802780686444,0.18203705762949793,0.21399600236515542,VARIANCE_NOT_COMPUTED,,,,-0.10646007906038694,False,fourth_moment_warning:t_nu=3.7399,False,ok,,False,"{""Const"": 0.033441266754404765, ""ret_pct[1]"": -0.05450940277577368, ""omega"": 0.027400449533985866, ""alpha[1]"": 0.1768666490992309, ""gamma[1]"": 0.009900058620716351, ""beta[1]"": 0.9897465190083751, ""nu"": 3.739863495031875}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t,2536,True,False,False,fourth_moment_warning:t_nu=3.7399,False,ok,FAIL_TO_REJECT,0.5229396032597515,-0.05753278150600822,-0.10646007906038694,19.600217952870963,19.600217952870963,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,10.501341329455615,0.04426015281991421,0.4823485169860172,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,414330.0,-2.04966326929967,2.52536526827979,1.432139758695481,0.9085173501577287,high_vol,0.5671020254709591,0.5671020254709591,2.5304682372914225,2.538691581454253,2.51099853224524,2537,HIGH
SR,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,5970.202859466105,6005.235284823701,-2979.1014297330526,True,0.3283192749389414,0.8614539660663634,0.8684378332728466,VARIANCE_NOT_COMPUTED,,,,-1.0446349789446847,True,ok,False,ok,,False,"{""mu"": -0.00010322221281783475, ""omega"": 0.0008318830720254744, ""alpha[1]"": 0.05783955633982303, ""gamma[1]"": 0.01935637786052115, ""beta[1]"": 0.9899773220183467, ""nu"": 4.495132793775098}",19_AR1_EGARCH11_t,08_EGARCH11_t,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.7441055164965942,-0.6560546422326097,-1.0446349789446847,10.607030905666303,10.607030905666303,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.783268964733257,FAIL_TO_REJECT,healthy,ok,14.194173598748483,-0.5851949770503254,0.7207916890341527,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,5320.0,-0.33777476287792996,0.6472878345669726,0.8324043103685153,0.08592826172644856,low_vol,1.28598788037687,1.28598788037687,0.6419623524776165,0.6518382545157286,0.6598730998863623,2537,HIGH
TA,05_GARCH11_ged,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8845.687238582477,8874.880926380474,-4417.843619291239,True,0.8082394690313981,0.5121649437206044,0.5372459276977968,VARIANCE_NOT_COMPUTED,,,,-0.5775339249215337,True,ok,False,ok,,False,"{""mu"": 0.016193050910388376, ""omega"": 0.022036193827444563, ""alpha[1]"": 0.06274499233555274, ""beta[1]"": 0.9310200554209386, ""nu"": 1.1272449640678432}",05_GARCH11_ged,05_GARCH11_ged,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.6419501871972529,-0.3636764572985279,-0.5775339249215337,10.262382070980962,10.262382070980962,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,7.0970867993742415,-0.13533915722214368,0.5538281365595668,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,5868.0,1.33815686958313,2.4767233056692306,1.42136088192579,0.9432400472999606,high_vol,0.5738876355999432,0.5738876355999432,2.417170461862318,2.4053436069329504,2.3908913579026327,2537,HIGH
V,03_GARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8373.075118066561,8402.268805864558,-4181.537559033281,True,0.3681209647103618,0.9607187749101825,0.964178981041338,VARIANCE_NOT_COMPUTED,,,,-0.7527205473800493,True,ok,False,ok,,False,"{""mu"": -0.006553931771349664, ""omega"": 0.025051970047611512, ""alpha[1]"": 0.061938272949000006, ""beta[1]"": 0.9273429043227573, ""nu"": 5.6313043241006655}",16_APARCH11_t,03_GARCH11_t,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.6868060263687369,-0.4868171054078219,-0.7527205473800493,9.440235415334932,9.440235415334932,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322815099530681,-0.5743742361862922,0.7171427083066956,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,4616.0,-0.04331817265052,1.3060159937428215,1.2422051142498411,0.559322033898305,normal_vol,0.9511408131303897,0.9511408131303897,1.2676292316576918,1.279725078978831,1.2939822799113376,2537,HIGH
Y,09_EGARCH11_skewt,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7758.643640148517,7799.514803065712,-3872.3218200742585,True,0.4332329882677063,0.9588211682187273,0.9614821782460945,VARIANCE_NOT_COMPUTED,,,,0.28554513744050974,True,ok,False,ok,,False,"{""mu"": 0.0040063751618724, ""omega"": 0.004085775421303997, ""alpha[1]"": 0.058778004740094536, ""gamma[1]"": 0.012359804146303985, ""beta[1]"": 0.9982759728479209, ""eta"": 5.142914577898615, ""lambda"": -0.08176195817318314}",09_EGARCH11_skewt,09_EGARCH11_skewt,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.4266473361762665,0.1849163172961335,0.28554513744050974,13.575084154101322,13.575084154101322,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,69.00005574585138,0.9949753287953448,0.15987413180669463,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,8353.0,-0.3704371804917,0.8121991859124821,1.1427764175066975,0.14229404808829327,low_vol,1.4070149753016823,1.4070149753016823,0.8038382302384148,0.8089762668883519,0.8108785048066964,2537,HIGH
