ma_window,version,vol_bucket,return_col,n_obs,mean_daily,ann_return,ann_vol,sharpe,t_stat,win_rate,max_drawdown
20,long_short,Low,gross_strategy_return,2476,8.536026065149061e-05,0.021510785684175634,0.07946408586220617,0.2706982085149281,0.8485167725487786,0.5117124394184168,-0.2766720302815061
20,long_short,Mid,gross_strategy_return,2476,9.289610787741069e-05,0.023409819185107494,0.11336342346021827,0.20650240148510085,0.6472918760452271,0.5016155088852988,-0.2666161137925036
60,long_flat,High,gross_strategy_return,2476,0.0002645351473856854,0.06666285714119272,0.16591543686901788,0.40178815425004594,1.259424618149178,0.47334410339256866,-0.23156206412899272
60,long_flat,Low,gross_strategy_return,2476,0.00020081651145803959,0.05060576088742597,0.07041786841094892,0.7186494284674703,2.252641777655557,0.5161550888529887,-0.11892241842028983
60,long_flat,Mid,gross_strategy_return,2476,0.00022041259740678852,0.05554397454651071,0.09762001413873297,0.5689814228829574,1.7835000949340771,0.5008077544426495,-0.1484548446352537
60,long_short,High,gross_strategy_return,2476,0.0001402904831077354,0.03535320174314932,0.20139754325221276,0.17553938927088125,0.550236800075084,0.5258481421647819,-0.33758506186082293
60,long_short,Low,gross_strategy_return,2476,0.00014498162965247537,0.036535370672423795,0.08400314353755202,0.43492861259521015,1.3633050055004492,0.5169628432956381,-0.16944830071631412
60,long_short,Mid,gross_strategy_return,2476,0.0001258311661268082,0.03170945386395566,0.11624335525456515,0.27278508775416954,0.8550581975788693,0.5088852988691438,-0.20386344446072047
120,long_flat,High,gross_strategy_return,2417,5.301846074389761e-05,0.013360652107462198,0.16185724686638273,0.08254589995894195,0.2556427976322743,0.468349193214729,-0.3877324903104964
120,long_flat,Low,gross_strategy_return,2417,0.00019083990941926653,0.04809165717365516,0.06947883539848179,0.6921770766282308,2.1436568553275746,0.5142738932561026,-0.11480559038011806
120,long_flat,Mid,gross_strategy_return,2417,8.889476196440466e-05,0.022401480015029975,0.09718822615887059,0.2304958213602023,0.7138403802536524,0.5002068680182044,-0.23259017323595677
120,long_short,High,gross_strategy_return,2417,-0.00025594516243463995,-0.06449818093352927,0.19649460764971252,-0.3282440251414382,-1.0165643712767565,0.5051717004551096,-0.6852467211361648
120,long_short,Low,gross_strategy_return,2417,0.00015261956992232903,0.03846013162042691,0.082857984031815,0.4641692900186826,1.437521862798569,0.5237898220935043,-0.16132762526411226
120,long_short,Mid,gross_strategy_return,2417,-0.00010891601935970599,-0.027446836878645908,0.11552852159710988,-0.23757628418688714,-0.7357684145526951,0.5039304923458833,-0.35550642655189557
10,long_flat,High,net_map_vs_passive,2476,-0.00022528598276367454,-0.05677206765644598,0.14144577834865563,-0.40136982750030287,-1.2581133524946684,0.43578352180936997,-0.5504470842507778
10,long_flat,Low,net_map_vs_passive,2476,-0.00011898057524522536,-0.02998310496179679,0.0636034175628475,-0.47140713676541096,-1.477648723421783,0.43901453957996767,-0.3076707074000502
10,long_flat,Mid,net_map_vs_passive,2476,-0.0002196363107599745,-0.055348350311513576,0.08535966420502202,-0.6484134025946324,-2.032483519803672,0.441437802907916,-0.4594647486110478
10,long_short,High,net_map_vs_passive,2476,-0.00045047860898710253,-0.11352060946474984,0.2828915151154151,-0.40128672441248475,-1.257852861801911,0.43578352180936997,-0.8326825613710166
10,long_short,Low,net_map_vs_passive,2476,-0.00023801243648680944,-0.05997913399467598,0.1272063177621044,-0.4715106533218444,-1.4779732011301958,0.43901453957996767,-0.5326876618911123
10,long_short,Mid,net_map_vs_passive,2476,-0.0004392726215199491,-0.11069670062302718,0.17071784601113874,-0.6484190329803283,-2.0325011685229786,0.441437802907916,-0.7276770096634904
20,long_flat,High,net_map_vs_passive,2476,-0.0001067159306952131,-0.026892414535193702,0.14336454655076686,-0.18758064795099688,-0.5879807142617683,0.42245557350565427,-0.5155144871696429
20,long_flat,Low,net_map_vs_passive,2476,-0.00014520623763974896,-0.03659197188521674,0.06283291664104579,-0.5823694623991548,-1.8254655595131037,0.43537964458804523,-0.34497894481095204
20,long_flat,Mid,net_map_vs_passive,2476,-0.00017083520998798036,-0.043050472916971054,0.08595974101320286,-0.5008213427534499,-1.5698489905346682,0.4438610662358643,-0.38377580882661455
20,long_short,High,net_map_vs_passive,2476,-0.00021333850485017952,-0.05376130322224524,0.2867289152688715,-0.1874987151952644,-0.5877238920321661,0.42245557350565427,-0.785053187645237
20,long_short,Low,net_map_vs_passive,2476,-0.0002903034925372357,-0.0731564801193834,0.12566670110902697,-0.582146897099763,-1.8247679176980465,0.43537964458804523,-0.5793218347000166
20,long_short,Mid,net_map_vs_passive,2476,-0.0003417786013745299,-0.08612820754638154,0.17191839195587144,-0.5009830918409777,-1.5703560009595423,0.4438610662358643,-0.646581424750595
60,long_flat,High,net_map_vs_passive,2476,-0.00015386152583140284,-0.03877310450951352,0.1424633838694707,-0.2721618949121595,-0.8531047691395794,0.425686591276252,-0.4933874737925772
60,long_flat,Low,net_map_vs_passive,2476,-9.135844772089106e-05,-0.023022328825664545,0.05973708312333318,-0.3853942580044065,-1.2080371486562558,0.43901453957996767,-0.24547271703696516
60,long_flat,Mid,net_map_vs_passive,2476,-0.00012471676220287184,-0.0314286240751237,0.08347084816584632,-0.37652216031971886,-1.1802271245912703,0.4305331179321486,-0.3245365459688049
60,long_short,High,net_map_vs_passive,2476,-0.00030753994462893135,-0.0775000660464907,0.284926606325848,-0.2720001022223247,-0.8525976220411415,0.425686591276252,-0.7719203382789932
60,long_short,Low,net_map_vs_passive,2476,-0.00018260791269951988,-0.04601719400027901,0.1194742346959337,-0.38516416629405037,-1.207315914937966,0.43901453957996767,-0.44689670154541805
60,long_short,Mid,net_map_vs_passive,2476,-0.0002493181309139366,-0.06282816899031202,0.1669397987397338,-0.3763522507192176,-1.1796945346394072,0.4305331179321486,-0.55407573421383
120,long_flat,High,net_map_vs_passive,2417,-0.0003331987861445652,-0.08396609410843042,0.14125561100289044,-0.5944266108247712,-1.840925858872464,0.4095986760446835,-0.6113854298773869
120,long_flat,Low,net_map_vs_passive,2417,-6.373118857522555e-05,-0.016060259520956837,0.059636662026050974,-0.2693017847635614,-0.8340215770688155,0.45179975175837817,-0.2276013092139626
120,long_flat,Mid,net_map_vs_passive,2417,-0.00022320136784419653,-0.05624674469673752,0.08297082346282617,-0.6779099248296364,-2.0994718067442877,0.41621845262722384,-0.44349505243022613
120,long_short,High,net_map_vs_passive,2417,-0.000666213689606282,-0.16788584978078308,0.2825107174107959,-0.5942636488960594,-1.840421169440473,0.4095986760446835,-0.8740847355941583
120,long_short,Low,net_map_vs_passive,2417,-0.0001272555091322467,-0.03206838830132617,0.11927305180169176,-0.2688653288979675,-0.8326698830588289,0.45179975175837817,-0.41327226428466757
120,long_short,Mid,net_map_vs_passive,2417,-0.00044625127874649344,-0.11245532224411635,0.16594186349465953,-0.6776790369582385,-2.0987567521938755,0.41621845262722384,-0.7101882704097142
10,long_flat,High,net_map_vs_zero,2476,0.0001634938288999609,0.04120044488279014,0.1589720180295917,0.2591679051034058,0.8123744726387535,0.47576736672051695,-0.3236263676538351
10,long_flat,Low,net_map_vs_zero,2476,0.00013767081801837843,0.034693046140631366,0.06289874520379876,0.551569765473415,1.7289224033013106,0.5020193861066236,-0.09678568314139058
10,long_flat,Mid,net_map_vs_zero,2476,9.535771792679431e-05,0.024030144917552166,0.09185555120348754,0.2616079769018881,0.8200229970179655,0.481421647819063,-0.2242876740253532
10,long_short,High,net_map_vs_zero,2476,-6.169879732346703e-05,-0.015548096925513693,0.18834009253964737,-0.0825533040568124,-0.25876736867160144,0.5072697899838449,-0.43004795173836763
10,long_short,Low,net_map_vs_zero,2476,1.8638956776794423e-05,0.004697017107752195,0.07751124933355212,0.06059787641326286,0.18994700703627307,0.49232633279483035,-0.19695210207917524
10,long_short,Mid,net_map_vs_zero,2476,-0.00012427859283318024,-0.03131820539396142,0.10939067732361675,-0.2862968413780908,-0.8974114500785498,0.49192245557350567,-0.41444660884695295
20,long_flat,High,net_map_vs_zero,2476,0.0002820638809684224,0.07108009800404244,0.16015152907702038,0.443830280070935,1.3912077175214927,0.4834410339256866,-0.22580865601577327
20,long_flat,Low,net_map_vs_zero,2476,0.00011144515562385485,0.028084179217211423,0.0648985807340344,0.4327394975293103,1.3564431172720577,0.49636510500807757,-0.15057475765622697
20,long_flat,Mid,net_map_vs_zero,2476,0.00014415881869878848,0.0363280223120947,0.09369120433678878,0.3877420785574227,1.2153965069951904,0.4773828756058158,-0.20748625172977597
20,long_short,High,net_map_vs_zero,2476,0.00017544130681345588,0.04421120931699088,0.19317790115156847,0.22886266520880416,0.717381216171503,0.5165589660743134,-0.46803251077511177
20,long_short,Low,net_map_vs_zero,2476,-3.365209927363192e-05,-0.008480329016955244,0.07952434205826898,-0.10663815377110002,-0.3342625079228193,0.5,-0.34156242631774236
20,long_short,Mid,net_map_vs_zero,2476,-2.6784572687761074e-05,-0.0067497123173157906,0.11337242401419505,-0.05953575021444966,-0.18661772052491896,0.49515347334410337,-0.3269923471967745
