ma_window,version,High,Low,Mid,hml_mean_daily,hml_t_stat,hml_sharpe,n_obs,monotonic_flag
10,long_flat,0.0001634938288999609,0.00013767081801837843,9.535771792679431e-05,2.5823010881582416e-05,0.1469673545295675,0.046886285419944565,2476,PARTIAL
10,long_short,-6.169879732346703e-05,1.8638956776794423e-05,-0.00012427859283318024,-8.033775410026147e-05,-0.3529898113087419,-0.1126126349374029,2476,REVERSED
20,long_flat,0.0002820638809684224,0.00011144515562385485,0.00014415881869878848,0.00017061872534456757,0.9645775893935195,0.3077245304629063,2476,PARTIAL
20,long_short,0.00017544130681345588,-3.365209927363192e-05,-2.6784572687761074e-05,0.00020909340608708774,0.9101891769224335,0.2903732578702982,2476,PARTIAL
60,long_flat,0.00023491828583223253,0.00016529294554271275,0.00019027726648389697,6.962534028951988e-05,0.38411710413001987,0.1225430248545393,2476,PARTIAL
60,long_short,8.123986703470416e-05,7.404348056408391e-05,6.56758977728322e-05,7.1963864706201955e-06,0.030511259104435338,0.00973385965523814,2476,PARTIAL
120,long_flat,2.8783297777869903e-05,0.00016532906034097842,6.350417544431868e-05,-0.0001365457625631086,-0.7665907795363455,-0.24752868605387876,2417,REVERSED
120,long_short,-0.00030423160568384696,0.00010180473978395724,-0.00015954573545797821,-0.0004060363454678042,-1.766525557852188,-0.5704030910471128,2417,REVERSED
